N list-build/from-map build/list-recursive list-build/iterated-from-map build/list-from-map 
100 0E-20 0E-20 0E-20 0E-20 
500 0E-20 0E-20 0E-20 0E-20 
1000 0E-20 0E-20 0E-20 0E-20 
5000 0E-20 0E-20 0E-20 0.0149999999999999994449 
10000 0E-20 0E-20 0E-20 0.0619999999999999995559 
20000 0E-20 0E-20 0.0160000000000000003331 0.140999999999999986455 
30000 0E-20 0.0149999999999999994449 0.0309999999999999997780 0.203999999999999986899 
40000 0.0160000000000000003331 0.0149999999999999994449 0.0320000000000000006661 0.281999999999999972911 
50000 0.0160000000000000003331 0.0160000000000000003331 0.0630000000000000004441 0.359999999999999986677 
60000 0.0320000000000000006661 0.0630000000000000004441 0.0470000000000000001110 0.436999999999999999556 
70000 0.0320000000000000006661 0.0320000000000000006661 0.0779999999999999998890 0.547000000000000041744 
80000 0.0470000000000000001110 0.0779999999999999998890 0.0779999999999999998890 0.656000000000000027534 
90000 0.0470000000000000001110 0.0619999999999999995559 0.0779999999999999998890 0.734999999999999986677 
100000 0.0470000000000000001110 0.0470000000000000001110 0.110000000000000000555 0.796000000000000040856 
200000 0.108999999999999999667 0.140999999999999986455 0.313000000000000000444 1.86000000000000009770 
300000 0.171999999999999986233 0.234000000000000013545 0.328000000000000013767 2.95299999999999984723 
400000 0.234000000000000013545 0.406000000000000027534 0.453000000000000013767 4.12500000000000000000 
500000 0.234999999999999986677 0.265000000000000013323 0.672000000000000041744 5.28099999999999969447 
600000 0.234999999999999986677 0.500000000000000000000 0.687000000000000055067 6.40599999999999969447 
700000 0.359999999999999986677 0.796000000000000040856 0.750000000000000000000 7.71799999999999997158 
800000 0.390000000000000013323 0.718999999999999972466 0.984999999999999986677 8.82799999999999940314 
900000 0.483999999999999985789 1.26499999999999990230 1.11000000000000009770 10.2810000000000005826 
1000000 0.562999999999999944933 0.875000000000000000000 1.31299999999999994493 11.1869999999999993889 
2000000 0.875000000000000000000 1.79699999999999993072 2.09399999999999986144 23.6250000000000000000 
3000000 1.68799999999999994493 2.04700000000000015277 3.23499999999999987566 39.9059600000000003206 
4000000 2.26500000000000012434 3.31299700000000019173 4.85899999999999998579 54.2968979999999987740 
5000000 2.09500000000000019540 4.81200000000000027711 5.32800000000000029132 66.3127640000000013742 
6000000 3.10899999999999998579 4.79696199999999972619 7.51600000000000001421 82.5158729999999991378 
7000000 3.23499999999999987566 5.71901399999999959789 8.18699999999999938893 99.5927719999999965239 
8000000 3.62500000000000000000 7.18698600000000009658 7.96900000000000030553 114.343373999999997181 
9000000 2.21799999999999997158 10.2820099999999996498 11.5779999999999994031 129.548371000000003050 
10000000 4.42199999999999970868 8.79698499999999938836 11.1089999999999999858 146.063083000000005995 
