N list-build/from-map build/list-recursive list-build/iterated-from-map build/list-from-map 
100 0.0 0 0 0.0 
500 0.0 0.0 0.0 0.0 
1000 0 0 0.0 0 
5000 0.0 0.0 0.0 155245.48 
10000 0.0 0.0 141217.41999999998 354049.5 
20000 0 0.0 125403.08 0.0 
30000 0.0 122000.51999999999 152365.59 0.0 
40000 0 0 0.0 0.0 
50000 0 0 0.0 0.0 
60000 0.0 0 0.0 0 
70000 0 0.0 0 0 
80000 0.0 0.0 0 0.0 
90000 0 0 0.0 0 
100000 0 0 132783.16 0.0 
200000 0 0 0.0 0 
300000 0 0 1711926.4300000002 108531.48999999999 
400000 0 0 415471.88 347443.02999999997 
500000 412308.68000000005 0 1171417.04 16389200.223000005 
600000 648186.9099999999 305037.31 2542948.5000000005 4416279.4969999995 
700000 nan 126117.65 1459755.81 8174346.403999999 
800000 1572921.36 113014.43999999999 2489112.52 9058546.277999999 
900000 1585984.6600000001 699053.21 3261163.26 9201516.577000003 
1000000 2090009.8799999997 321669.63 3546245.9200000004 19685200.984 
2000000 3135413.2199999997 4997567.56 10376019.974000001 60264516.44200001 
3000000 8073009.56 9631281.73 17990604.169999994 86769011.20899996 
4000000 11499365.44 15738038.588999998 24960873.59 126432842.27400005 
5000000 10271444.699999997 22471318.263000004 27170484.22 139122526.19399986 
6000000 17946317.555999998 22948973.71999999 34182528.64 152994638.55 
7000000 17103374.896000005 27937224.840000004 37129790.589999996 174164282.02299997 
8000000 19901623.119999997 31527390.380000003 36110850.44700001 190807266.61 
9000000 12369175.83 42602530.154999994 48078124.12 204860270.64999992 
10000000 22129262.416 38975354.072 47024068.278 223975655.88000005 
