N dict-update-one/update map-update-one/update-with list-update-one/keyreplace dict-update-one/store list-update-one/recursive list-update-one/keystore map-update-one/overwrite map-update-one/pattern-match map-update-one/update 
100 0E-20 1.34299999999999997158 0E-20 0E-20 0E-20 0E-20 0.0470000000000000001110 0.0470000000000000001110 1.06299999999999994493 
500 0E-20 1.46900000000000008349 0E-20 0E-20 0E-20 0E-20 0.0619999999999999995559 0.0470000000000000001110 0.891000000000000014211 
1000 0E-20 1.64100000000000001421 0E-20 0E-20 0E-20 0E-20 0.0470000000000000001110 0.0470000000000000001110 1.04600000000000004086 
5000 0E-20 1.68700000000000005507 0.0309999999999999997780 0E-20 0.0309999999999999997780 0.0470000000000000001110 0.0470000000000000001110 0.0470000000000000001110 0.983999999999999985789 
10000 0E-20 1.87500000000000000000 0.0619999999999999995559 0E-20 0.0779999999999999998890 0.0779999999999999998890 0.0470000000000000001110 0.0630000000000000004441 1.14100000000000001421 
20000 0E-20 3.32799999999999984723 0.171999999999999986233 0E-20 0.171999999999999986233 0.171999999999999986233 0.0309999999999999997780 0.0309999999999999997780 1.18799999999999994493 
30000 0E-20 3.79700000000000015277 0.375000000000000000000 0E-20 0.359999999999999986677 0.375000000000000000000 0.0470000000000000001110 0.0470000000000000001110 2.79700000000000015277 
40000 0E-20 3.87599999999999988987 0.657000000000000028422 0E-20 0.625000000000000000000 0.641000000000000014211 0.0630000000000000004441 0.0470000000000000001110 2.93800000000000016698 
50000 0E-20 5.04699999999999970868 0.734999999999999986677 0E-20 0.687000000000000055067 0.718999999999999972466 0.0459999999999999992228 0.0470000000000000001110 3.75000000000000000000 
60000 0E-20 4.81200000000000027711 0.734999999999999986677 0E-20 0.718999999999999972466 0.750000000000000000000 0.0470000000000000001110 0.0619999999999999995559 3.56300000000000016698 
70000 0E-20 3.84299999999999997158 1.12500000000000000000 0E-20 1.09400000000000008349 1.13999999999999990230 0.0470000000000000001110 0.0470000000000000001110 2.67200000000000015277 
80000 0E-20 3.75000000000000000000 1.15599999999999991651 0E-20 1.11000000000000009770 1.18700000000000005507 0.0320000000000000006661 0.0470000000000000001110 2.59399999999999986144 
90000 0E-20 4.79699999999999970868 1.17199999999999993072 0.0160000000000000003331 1.14100000000000001421 1.15599999999999991651 0.0309999999999999997780 0.0470000000000000001110 3.42200000000000015277 
100000 0E-20 4.89100000000000001421 1.21900000000000008349 0E-20 1.32800000000000006928 1.25000000000000000000 0.0619999999999999995559 0.0470000000000000001110 3.46899999999999986144 
200000 0E-20 4.89100000000000001421 2.82799999999999984723 0E-20 2.78100000000000013856 2.84399999999999986144 0.0470000000000000001110 0.0470000000000000001110 3.51500000000000012434 
300000 0E-20 4.87500000000000000000 4.17199999999999970868 0E-20 3.98399999999999998579 4.21900000000000030553 0.0470000000000000001110 0.0470000000000000001110 3.46899999999999986144 
400000 0.0160000000000000003331 4.93700000000000027711 4.73399999999999998579 0.0160000000000000003331 4.50000000000000000000 4.81200000000000027711 0.0470000000000000001110 0.0630000000000000004441 3.51500000000000012434 
500000 0.0160000000000000003331 4.68799999999999972289 7.39100000000000001421 0.0149999999999999994449 7.01600000000000001421 7.36000000000000031974 0.0470000000000000001110 0.0470000000000000001110 3.31199999999999983302 
600000 0.0160000000000000003331 4.70300000000000029132 8.43800000000000061107 0.0149999999999999994449 8.07799999999999940314 8.50000000000000000000 0.0470000000000000001110 0.0459999999999999992228 3.32900000000000018119 
700000 0.0470000000000000001110 5.10899999999999998579 8.85899999999999998579 0.0309999999999999997780 8.37500000000000000000 8.98399999999999998579 0.0470000000000000001110 0.0470000000000000001110 3.59399999999999986144 
800000 0.0309999999999999997780 4.82899999999999973710 9.20400000000000062528 0.0309999999999999997780 8.64000000000000056843 9.18699999999999938893 0.0470000000000000001110 0.0470000000000000001110 3.37500000000000000000 
900000 0.0470000000000000001110 5.01600000000000001421 12.4060000000000005826 0.0630000000000000004441 11.8140000000000000568 12.5000000000000000000 0.0619999999999999995559 0.0470000000000000001110 3.46899999999999986144 
1000000 0.0470000000000000001110 5.04600000000000026290 12.9369999999999993889 0.0470000000000000001110 12.4369999999999993889 13.0779999999999994031 0.0470000000000000001110 0.0470000000000000001110 3.54599999999999981881 
2000000 nan 4.87500000000000000000 27.8290000000000006253 nan 26.4849999999999994316 27.9690000000000011937 0.0309999999999999997780 0.0470000000000000001110 3.35999999999999987566 
3000000 nan 5.20300000000000029132 38.7030000000000029559 nan 36.6719999999999970441 38.9849999999999994316 0.0459999999999999992228 0.0470000000000000001110 3.73499999999999987566 
