N dict-update-one/update map-update-one/update-with list-update-one/keyreplace dict-update-one/store list-update-one/recursive list-update-one/keystore map-update-one/overwrite map-update-one/pattern-match map-update-one/update 
100 0.0 6858697.08 0.0 0 0 0.0 0.0 0.0 4275962.83 
500 0 6642714.79 0.0 0.0 0.0 0 0 0 5140328.539999999 
1000 0.0 10639709.959999999 0.0 0.0 0.0 0 0.0 0.0 7890532.529999999 
5000 0 8967731.249 0.0 0 0 212195.87999999998 0.0 0.0 5660337.209999999 
10000 0 8657205.15 0.0 0.0 0.0 453992.86999999994 0 0.0 6532356.809999999 
20000 0 16611842.439999998 464204.6 0.0 854078.51 481547.18000000005 0.0 0.0 7478677.054 
30000 0 18417757.750000007 1327380.0350000001 0.0 1432906.98 1399088.916 0.0 119579.38 15101080.039999997 
40000 0.0 17719809.190000005 3916182.9 0.0 3973197.8199999994 4998799.1899999995 0 268323.12 13878164.76 
50000 0 25047465.84 4642229.87 0.0 3567712.7300000004 3294363.6799999997 0.0 0.0 18947890.174000002 
60000 0.0 23774681.195999995 6690517.869999999 0.0 3373567.1700000004 4026276.94 0 0.0 16727189.810000002 
70000 0 18691027.480000004 4554037.85 0 2700885.77 7490813.659999999 0 0.0 14178391.589999998 
80000 0.0 18007123.740000002 4439254.35 0.0 4520246.18 6022877.420000001 0.0 0.0 13485897.440000001 
90000 0.0 27630130.996 5416933.45 0 6130389.435 5506730.006 0 0.0 16027909.116 
100000 0.0 23611042.970000003 7073326.709999999 0 5004522.126 6845980.446 0 0 17790258.240000002 
200000 0 18764989.67 123799.1 0 542783.1799999999 399264.57999999996 0.0 0 18423173.99 
300000 0.0 20457522.72 251985.89000000004 0 191381.83500000002 110371.48000000001 0.0 0.0 16126071.494000003 
400000 0.0 21177586.445999995 0.0 0.0 450822.13599999994 0.0 0 104861.6 25157950.5 
500000 0.0 25071873.505999997 186035.155 0.0 1624033.1539999996 148117.42 0 0 16843154.93 
600000 0.0 2650259.21 135944.196 115463.01000000001 2693516.664 2654777.8789999997 0 0.0 16871833.72 
700000 0 1121993.1 467588.7899999999 0.0 339516.474 471344.9460000001 0.0 0 1574634.0399999998 
800000 0.0 0.0 45371648.05 0.0 3687527.868 7224950.825 0 0.0 372766.48 
900000 0 0.0 2305504.175 0.0 1271122.165 2075748.537 0.0 0.0 91795.75600000001 
1000000 0.0 106697.72 48893930.23500001 0.0 7266214.244 8250923.586000001 0.0 56348.64399999999 750597.21 
2000000 nan 701169.5819999999 18971766.682000004 nan 19997522.379000004 21063976.560999993 251907.42 0 1428382.1039999998 
3000000 nan 5584904.693 24966230.070999995 nan 27426304.8 28900247.63499999 0.0 0.0 1530050.685 
4000000 nan 2386625.875 126579915.14600003 nan 117721851.35600004 118609745.55800016 0.0 0 5652929.578999998 
5000000 nan 22588951.273999996 154126105.84 nan 138343897.14400005 138669666.68600005 0 0.0 11897666.614000004 
6000000 nan 23758069.889999997 139351803.01000005 nan 133084390.41399999 139852951.72999996 0 0.0 9188009.892 
7000000 nan 2849545.6790000005 177328841.004 nan 177967914.9650001 197056670.39599997 0 0 5974151.359999999 
8000000 nan 23675194.048 201396894.03500006 nan 196413480.73499995 197831251.65000007 0.0 0 18138633.03 
9000000 nan 23742366.584999997 200706855.70400006 nan 193841470.78399998 204325601.8 0.0 0.0 19086532.523999996 
10000000 nan 21600242.814 201213798.6636 nan 195512714.29000002 217254830.3550001 0.0 0.0 12262777.593999999 
