N list/send map/send dictionary/send 
10000 0E-20 0E-20 0E-20 
20000 0E-20 0E-20 0E-20 
30000 0E-20 0E-20 0.0149999999999999994449 
40000 0.0160000000000000003331 0.0160000000000000003331 0.0320000000000000006661 
50000 0.0149999999999999994449 0.0149999999999999994449 0.0320000000000000006661 
60000 0.0160000000000000003331 0.0309999999999999997780 0.0470000000000000001110 
70000 0.0309999999999999997780 0.0160000000000000003331 0.0470000000000000001110 
80000 0.0470000000000000001110 0.0470000000000000001110 0.0619999999999999995559 
90000 0.0470000000000000001110 0.0470000000000000001110 0.0480000000000000009992 
100000 0.0470000000000000001110 0.0160000000000000003331 0.0309999999999999997780 
