N list-update-all/foldl dict-update-all/map list-update-all/recursive list-update-all/map 
100 0E-20 0E-20 0E-20 0E-20 
500 0E-20 0E-20 0E-20 0E-20 
1000 0E-20 0E-20 0E-20 0E-20 
5000 0E-20 0E-20 0E-20 0E-20 
10000 0E-20 0E-20 0E-20 0E-20 
20000 0E-20 0.0160000000000000003331 0E-20 0.0149999999999999994449 
30000 0.0160000000000000003331 0.0149999999999999994449 0.0160000000000000003331 0.0160000000000000003331 
40000 0.0149999999999999994449 0.0320000000000000006661 0.0160000000000000003331 0.0149999999999999994449 
50000 0.0309999999999999997780 0.0470000000000000001110 0.0470000000000000001110 0.0320000000000000006661 
60000 0.0160000000000000003331 0.0470000000000000001110 0.0309999999999999997780 0.0320000000000000006661 
70000 0.0320000000000000006661 0.0630000000000000004441 0.0309999999999999997780 0.0470000000000000001110 
80000 0.0309999999999999997780 0.0470000000000000001110 0.0470000000000000001110 0.0470000000000000001110 
90000 0.0470000000000000001110 0.0630000000000000004441 0.0470000000000000001110 0.0630000000000000004441 
100000 0.0470000000000000001110 0.110000000000000000555 0.0309999999999999997780 0.0630000000000000004441 
200000 0.125000000000000000000 0.203000000000000013767 0.108999999999999999667 0.140999999999999986455 
300000 0.203000000000000013767 0.250000000000000000000 0.171000000000000013101 0.250000000000000000000 
400000 0.234000000000000013545 0.390000000000000013323 0.453000000000000013767 0.281000000000000027534 
500000 0.311999999999999999556 0.453000000000000013767 0.438000000000000000444 0.375000000000000000000 
600000 0.375000000000000000000 0.593999999999999972466 0.547000000000000041744 0.547000000000000041744 
700000 0.484999999999999986677 0.782000000000000028422 0.812000000000000055067 0.593999999999999972466 
800000 0.516000000000000014211 0.796000000000000040856 0.765000000000000013323 0.516000000000000014211 
900000 0.593999999999999972466 0.859999999999999986677 0.390000000000000013323 0.672000000000000041744 
1000000 0.609999999999999986677 1.00000000000000000000 0.717999999999999971578 0.656000000000000027534 
