N list-update-all/foldl dict-update-all/map list-update-all/recursive list-update-all/map 
100 0 0.0 0.0 0.0 
500 0 0.0 0.0 0.0 
1000 0 0.0 0.0 0.0 
5000 0.0 0 0 0 
10000 0.0 0 0 0.0 
20000 0.0 0.0 0 0 
30000 0 0.0 110770.98000000001 0.0 
40000 0.0 0 0.0 0 
50000 0.0 96581.95 0.0 0.0 
60000 0 0 0 169709.38 
70000 0.0 0 0 157884.41999999998 
80000 0 0.0 0 0.0 
90000 0.0 0 0 0.0 
100000 0 0 0.0 0.0 
200000 0.0 0.0 0 0 
300000 874405.01 84369.356 343984.04 306734.54500000004 
400000 77221.144 637903.1 0.0 1290754.8299999998 
500000 736666.134 2135935.96 1488031.3939999999 1047221.0 
600000 786362.75 1210962.5599999998 1207528.4449999998 531170.5599999999 
700000 540888.9800000001 2846374.51 496599.88 1218160.684 
800000 1378190.3199999998 1267384.8140000002 3656086.7600000002 2231580.4999999995 
900000 1451761.86 3496362.8299999996 1287677.8699999999 1702354.276 
1000000 nan 3882143.13 3565195.65 2760978.95 
