N map/list-comprehension-fun map/map-fun map/recursive map/my-map-fun map/list-comprehension-named map/list-comprehension map/map-named map/my-map-named 
10000 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
50000 0.0160000000000000003331 0.0309999999999999997780 0.0160000000000000003331 0.0160000000000000003331 0.0149999999999999994449 0.0160000000000000003331 0.0309999999999999997780 0.0160000000000000003331 
100000 0E-20 0.0309999999999999997780 0.0160000000000000003331 0.0309999999999999997780 0.0160000000000000003331 0.0160000000000000003331 0.0309999999999999997780 0.0470000000000000001110 
500000 0.250000000000000000000 0.295999999999999985345 0.234000000000000013545 0.296999999999999986233 0.250000000000000000000 0.234000000000000013545 0.313000000000000000444 0.281999999999999972911 
1000000 0.687999999999999944933 0.765000000000000013323 0.641000000000000014211 0.765000000000000013323 0.672000000000000041744 0.640000000000000013323 0.734999999999999986677 0.781000000000000027534 
2000000 1.53099999999999991651 1.70300000000000006928 1.43700000000000005507 1.67199999999999993072 1.51499999999999990230 1.45300000000000006928 1.56200000000000005507 1.70300000000000006928 
3000000 2.39100000000000001421 2.59399999999999986144 2.26600000000000001421 2.62500000000000000000 2.39100000000000001421 2.26500000000000012434 2.67099999999999981881 2.62500000000000000000 
4000000 2.84399999999999986144 3.14100000000000001421 2.68800000000000016698 3.18800000000000016698 2.84399999999999986144 2.68699999999999983302 3.09299999999999997158 3.12500000000000000000 
5000000 3.79599999999999981881 4.14100000000000001421 3.56199999999999983302 4.13999999999999968026 3.75000000000000000000 3.59399999999999986144 3.43800000000000016698 4.21799999999999997158 
6000000 4.51600000000000001421 5.01499999999999968026 4.28099999999999969447 4.93700000000000027711 4.51499999999999968026 4.29699999999999970868 4.53200000000000002842 5.00000000000000000000 
7000000 5.15599999999999969447 5.73500000000000031974 4.88999999999999968026 5.68700000000000027711 5.20300000000000029132 4.89100000000000001421 4.87500000000000000000 5.78099999999999969447 
8000000 2.21899999999999986144 2.85899999999999998579 1.90599999999999991651 2.81199999999999983302 2.23399999999999998579 1.90700000000000002842 3.04700000000000015277 2.89000000000000012434 
9000000 5.96900000000000030553 6.62500000000000000000 5.81299999999999972289 6.59400000000000030553 5.92199999999999970868 5.53099999999999969447 6.42100000000000026290 6.67199999999999970868 
10000000 7.03200000000000002842 7.71900000000000030553 6.56299999999999972289 7.71900000000000030553 7.03099999999999969447 6.75000000000000000000 7.82800000000000029132 7.79699999999999970868 
