N map/list-comprehension-fun map/map-fun map/recursive map/my-map-fun map/list-comprehension-named map/list-comprehension map/map-named map/my-map-named 
10000 0.0 0.0 0 0.0 0 0.0 0.0 0.0 
50000 0.0 0.0 0.0 0 0 0.0 0 0.0 
100000 0 0.0 0 0 0 0.0 98975.7 94058.956 
500000 0 121803.34 0 2019509.67 0 0.0 0.0 0.0 
1000000 538542.62 0.0 0.0 936129.3699999999 674356.06 0 3205941.5659999996 613867.0599999999 
2000000 642131.53 1831622.378 0.0 1051058.085 393568.11 185926.869 2428677.6900000004 1227331.78 
3000000 1184512.585 3355101.8150000004 2308440.31 1407622.4749999999 1106622.08 8854673.646000002 2247959.566 1727976.97 
4000000 5341897.494999999 6976936.584999999 4683710.989 5355570.16 6599161.148 3806082.3409999995 8902709.870000001 6682945.162999999 
5000000 7445157.495 11841287.710000003 7032967.352000001 10562607.529999997 7377080.281 5568653.066 10402591.525 10972308.211999997 
6000000 9197543.665 16792168.809999995 11950581.28 14048416.49 11099940.124 17371499.71 11370470.511 12747136.589000003 
7000000 12943751.044 19660100.001000002 14410616.930000002 20337229.672000006 13949057.255000005 12601064.34 19800388.112 20800648.935999997 
8000000 11589888.319999998 16488380.969999995 11086173.39 17995280.97 13330260.309999999 10596952.814 16239958.210000003 17098013.746000003 
9000000 26857180.239 30004585.921000004 21098646.323999997 27705250.949999996 27207459.479999997 20317104.595000003 28742343.160000004 29925500.650000006 
10000000 29717508.198999994 35287497.464999996 25168340.102999996 33809550.74499999 28938978.910000008 25617376.415 32358819.340000004 36336266.044 
