N map/my-map-named map/list-comprehension map/recursive map/map-named map/map-fun map/list-comprehension-named 
10000 0.0071716308 0.0047225952 0.0056228637 0.0070877075 0.0068206787 0.0057678222 
50000 0.0207443237 0.0148696900 0.0159912109 0.0209808349 0.0209579467 0.0178985596 
100000 0.0391311646 0.0280456543 0.0250167846 0.0390396119 0.0397186279 0.0286102295 
500000 0.2868194580 0.2301635742 0.2308578491 0.2956619263 0.2907180786 0.1787338257 
1000000 0.5663833618 0.4307785034 0.4311599731 0.5821914673 0.5490951538 0.4379348755 
2000000 1.3235778808 1.0665435791 1.0541610718 1.2964248657 1.3160629273 0.8627548218 
3000000 2.2917785645 1.8948516846 1.9020309448 2.0635681152 2.2765808105 1.9218139648 
4000000 2.4020004273 1.8686447144 1.8471298218 2.2551498413 2.3533325195 1.8546829224 
5000000 3.4209365844 2.7068862915 2.7603988648 3.0567550659 3.3691329956 2.8669433594 
6000000 4.1256790162 3.3322830200 3.2221679687 3.7273406982 4.0862808228 3.4083938599 
7000000 4.4537734986 3.4515304565 3.4328079223 4.1543884277 4.3477859497 3.5874099731 
8000000 4.6295547486 3.7292404175 3.7604980469 4.5436172485 4.5790710450 3.7744979859 
9000000 6.8574371338 5.6174468994 5.5817871094 6.2243041992 6.7899627686 5.9625854492 
10000000 5.8762207031 4.8524856568 4.7433013916 5.8197250366 5.8086166382 4.9247970581 
