N list-update-all/recursive list-update-all/foldr map-update-all/fold-with-map dict-update-all/map map-update-all/recursive map-update-all/map-with-iter list-update-all/map dict-update-all/fold map-update-all/map-with-map map-update-all/fold-with-iter list-update-all/foldl 
100 0.0 0 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0 
500 0.0 0 0.0 0.0 0 0 0.0 0.0 0.0 0.0 0 
1000 0.0 0.0 0 0.0 0 0 0.0 0 0 0 0 
5000 0 0 0.0 0 0.0 0 0 104268.575 0 0.0 0.0 
10000 0 0 0.0 0 0.0 0.0 0.0 482262.5 0 0 0.0 
20000 0 0.0 0 0.0 0.0 0 0 2228191.0919999997 0.0 0.0 0.0 
30000 110770.98000000001 0 0.0 0.0 0.0 0 0.0 3312188.724 0 0.0 0 
40000 0.0 0 174838.28999999998 0 0.0 438823.0 0 3734472.91 0.0 220994.67 0.0 
50000 0.0 266503.25999999995 nan 96581.95 0 0 0.0 5049638.532 0 303481.07999999996 0.0 
60000 0 0.0 0 0 0.0 142155.16 169709.38 9406541.66 0 0 0 
70000 0 0.0 383400.83999999997 0 0.0 316709.73 157884.41999999998 8931037.66 0.0 605284.67 0.0 
80000 0 0 0 0.0 0.0 0.0 0.0 14244833.74 0 170505.56 0 
90000 0 0 0 0 0.0 0 0.0 18690664.394 108541.62 454423.07 0.0 
100000 0.0 0.0 0 0 0.0 317536.82999999996 0.0 20988051.593999997 145020.12 363306.25 0 
200000 0 0 6461861.28 0.0 792931.284 nan 0 31990142.109999992 nan 0.0 0.0 
300000 343984.04 608823.49 183487.65 84369.356 116577.88999999998 1169404.6199999999 306734.54500000004 102478129.52000001 1058903.0699999998 274868.54 874405.01 
400000 0.0 887467.99 2099603.6900000004 637903.1 7964315.68 5149427.6899999995 1290754.8299999998 16428865.088 5820177.51 2191794.1900000004 77221.144 
500000 1488031.3939999999 776948.85 1012849.208 2135935.96 945563.6300000001 5139955.519 1047221.0 1815930.1529999997 5792871.76 616362.41 736666.134 
600000 1207528.4449999998 970923.04 1539836.6460000002 1210962.5599999998 4188227.0039999997 8089567.575 531170.5599999999 3166009.8929999997 7964640.7299999995 750811.569 786362.75 
700000 496599.88 3934741.970000001 1913869.359 2846374.51 4841058.148 8472708.190000001 1218160.684 31806906.85400001 7915435.609999998 1586220.3360000001 540888.9800000001 
800000 3656086.7600000002 2314032.1000000006 2189215.24 1267384.8140000002 6982392.1899999995 11978021.129999999 2231580.4999999995 1356155.7479999997 12393215.32 4803946.471999999 1378190.3199999998 
900000 1287677.8699999999 3191857.8600000003 3694370.904 3496362.8299999996 12775562.173 13938436.169999998 1702354.276 1767641.7684000009 12895145.015000002 3477130.644 1451761.86 
1000000 3565195.65 3822889.7199999997 10263805.182 3882143.13 10771651.785 12680568.610000003 2760978.95 139699019.69360003 14365881.891000003 3165931.5760000004 nan 
2000000 5294732.846 11729408.790000003 33983407.425 nan 33838737.25200001 24656147.380000003 8241217.720000001 nan 24913963.44 9990118.269 4744507.0540000005 
3000000 13426785.351 13501570.500000004 34688329.236999996 nan 64829871.29000001 35509906.49 11510436.069999998 nan 39560201.61 43189105.845000006 10084844.714000002 
4000000 18057211.7 20588137.83 52011995.125000015 nan 78476732.52399999 44003920.620000005 15275588.929999998 nan 47692680.89999999 67969159.1 14081952.856 
5000000 24590204.474 19254741.169999998 64616874.961 nan 91181609.60000004 55301048.19999999 22063814.999999996 nan 56433118.1 72851616.36500002 19225801.18 
6000000 25426683.020000003 24492757.389999993 80136488.23499998 nan 103597960.35000001 58579520.37999998 21576940.580000006 nan 60016063.87999998 80640627.14000003 20716667.740000002 
7000000 26312686.385999996 33176562.839999996 92116589.49900009 nan 112600249.28 64121244.97400002 28200137.656 nan 67556949.42500001 90186955.33999999 23587179.310000006 
8000000 27885673.18 42040349.349999994 108291887.90999997 nan 122015780.59000008 71318280.72999997 28820590.119999997 nan 72834519.61499998 99407572.52399994 26214263.64 
9000000 31416899.654999994 29414927.26 109990351.12000003 nan 130224674.96699993 79232299.39999995 28459311.959999997 nan 83988143.81999996 110872774.02600002 26642475.83 
10000000 38891409.19 29340758.74 122178074.21 nan 145319060.56499994 81803548.46999998 36883234.309999995 nan 85292832.94000003 119117396.84199998 28824454.656 
