N list-update-all/recursive list-update-all/foldr map-update-all/fold-with-map dict-update-all/map map-update-all/recursive map-update-all/map-with-iter list-update-all/map dict-update-all/fold map-update-all/map-with-map map-update-all/fold-with-iter list-update-all/foldl 
100 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
500 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
1000 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
5000 0E-20 0E-20 0.0149999999999999994449 0E-20 0.0149999999999999994449 0E-20 0E-20 0.0470000000000000001110 0.0160000000000000003331 0.0160000000000000003331 0E-20 
10000 0E-20 0E-20 0.0309999999999999997780 0E-20 0.0320000000000000006661 0.0160000000000000003331 0E-20 0.110000000000000000555 0.0160000000000000003331 0.0309999999999999997780 0E-20 
20000 0E-20 0E-20 0.0779999999999999998890 0.0160000000000000003331 0.108999999999999999667 0.0470000000000000001110 0.0149999999999999994449 0.343000000000000027089 0.0470000000000000001110 0.0779999999999999998890 0E-20 
30000 0.0160000000000000003331 0.0160000000000000003331 0.125000000000000000000 0.0149999999999999994449 0.155999999999999999778 0.0630000000000000004441 0.0160000000000000003331 0.656000000000000027534 0.0779999999999999998890 0.125000000000000000000 0.0160000000000000003331 
40000 0.0160000000000000003331 0.0160000000000000003331 0.171999999999999986233 0.0320000000000000006661 0.203999999999999986899 0.0940000000000000002220 0.0149999999999999994449 0.937000000000000055067 0.0940000000000000002220 0.188000000000000000444 0.0149999999999999994449 
50000 0.0470000000000000001110 0.0309999999999999997780 0.203000000000000013767 0.0470000000000000001110 0.234999999999999986677 0.125000000000000000000 0.0320000000000000006661 1.40700000000000002842 0.125000000000000000000 0.203000000000000013767 0.0309999999999999997780 
60000 0.0309999999999999997780 0.0160000000000000003331 0.250000000000000000000 0.0470000000000000001110 0.328000000000000013767 0.140999999999999986455 0.0320000000000000006661 1.95300000000000006928 0.0950000000000000011102 0.250000000000000000000 0.0160000000000000003331 
70000 0.0309999999999999997780 0.0309999999999999997780 0.296999999999999986233 0.0630000000000000004441 0.359999999999999986677 0.171999999999999986233 0.0470000000000000001110 2.37500000000000000000 0.188000000000000000444 0.296999999999999986233 0.0320000000000000006661 
80000 0.0470000000000000001110 0.0470000000000000001110 0.343999999999999972466 0.0470000000000000001110 0.421999999999999986233 0.188000000000000000444 0.0470000000000000001110 2.95400000000000018119 0.186999999999999999556 0.329000000000000014655 0.0309999999999999997780 
90000 0.0470000000000000001110 0.0779999999999999998890 0.359999999999999986677 0.0630000000000000004441 0.454000000000000014655 0.219000000000000000222 0.0630000000000000004441 3.71899999999999986144 0.234999999999999986677 0.391000000000000014211 0.0470000000000000001110 
100000 0.0309999999999999997780 0.0630000000000000004441 0.421999999999999986233 0.110000000000000000555 0.531000000000000027534 0.250000000000000000000 0.0630000000000000004441 4.48399999999999998579 0.281000000000000027534 0.421999999999999986233 0.0470000000000000001110 
200000 0.108999999999999999667 0.155999999999999999778 0.798000000000000042633 0.203000000000000013767 1.09400000000000008349 0.516000000000000014211 0.140999999999999986455 15.0779999999999994031 0.532000000000000028422 0.858999999999999985789 0.125000000000000000000 
300000 0.171000000000000013101 0.328000000000000013767 1.28099999999999991651 0.250000000000000000000 1.65599999999999991651 0.766000000000000014211 0.250000000000000000000 30.1870000000000011653 0.859999999999999986677 1.28099999999999991651 0.203000000000000013767 
400000 0.453000000000000013767 0.359999999999999986677 1.68700000000000005507 0.390000000000000013323 2.28100000000000013856 1.07800000000000006928 0.281000000000000027534 55.9059999999999988063 1.12500000000000000000 1.73399999999999998579 0.234000000000000013545 
500000 0.438000000000000000444 0.375000000000000000000 2.17200000000000015277 0.453000000000000013767 2.84399999999999986144 1.31200000000000005507 0.375000000000000000000 83.4839999999999946567 1.34400000000000008349 2.20299999999999984723 0.311999999999999999556 
600000 0.547000000000000041744 0.406000000000000027534 2.62500000000000000000 0.593999999999999972466 3.28200000000000002842 1.56200000000000005507 0.547000000000000041744 111.375000000000000000 1.67199999999999993072 2.73399999999999998579 0.375000000000000000000 
700000 0.812000000000000055067 0.687000000000000055067 3.21899999999999986144 0.782000000000000028422 4.00000000000000000000 1.75000000000000000000 0.593999999999999972466 153.687000000000011823 1.75000000000000000000 3.10899999999999998579 0.484999999999999986677 
800000 0.765000000000000013323 0.577999999999999958256 3.62500000000000000000 0.796000000000000040856 4.59400000000000030553 2.20299999999999984723 0.516000000000000014211 208.234174999999993361 2.23499999999999987566 3.70299999999999984723 0.516000000000000014211 
900000 0.390000000000000013323 0.516000000000000014211 4.03200000000000002842 0.859999999999999986677 5.06200000000000027711 2.40600000000000013856 0.672000000000000041744 259.047000000000025466 2.53200000000000002842 4.00000000000000000000 0.593999999999999972466 
1000000 0.717999999999999971578 0.733999999999999985789 4.50000000000000000000 1.00000000000000000000 5.64100000000000001421 2.73499999999999987566 0.656000000000000027534 313.669309999999995853 2.78100000000000013856 4.61000000000000031974 0.609999999999999986677 
2000000 2.79700000000000015277 1.96900000000000008349 9.35899999999999998579 nan 11.7970000000000005969 5.68799999999999972289 1.56200000000000005507 nan 5.67199999999999970868 8.93699999999999938893 1.34400000000000008349 
3000000 2.10999999999999987566 2.56199999999999983302 13.7660000000000000142 nan 17.2500000000000000000 8.07799999999999940314 2.20299999999999984723 nan 8.87500000000000000000 13.7810000000000005826 1.79600000000000004086 
4000000 3.15600000000000013856 4.23500000000000031974 18.3590000000000017621 nan 23.8599999999999994316 10.8429999999999999716 2.87500000000000000000 nan 11.5619999999999993889 18.3590000000000017621 2.56199999999999983302 
5000000 4.39100000000000001421 3.48499999999999987566 23.0781880000000008124 nan 30.5162639999999996121 14.0470000000000005969 3.81300000000000016698 nan 14.4220000000000005969 22.9691970000000011964 3.26600000000000001421 
6000000 5.00000000000000000000 5.15700000000000002842 28.3275790000000000646 nan 36.1560220000000001050 16.2347569999999983281 4.06299999999999972289 nan 16.2961370000000016489 27.5775889999999996860 3.57799999999999984723 
7000000 5.13999999999999968026 6.03099999999999969447 33.2501230000000020937 nan 42.0621579999999966049 18.5160640000000000782 6.04699999999999970868 nan 19.2650669999999983872 32.2031190000000009377 4.37500000000000000000 
8000000 5.15599999999999969447 9.59299999999999997158 36.8441370000000034679 nan 48.3437100000000015143 21.4530759999999993681 5.79699999999999970868 nan 21.7190769999999986339 36.7351370000000017058 5.03099999999999969447 
9000000 6.67199999999999970868 6.32800000000000029132 41.6252399999999980196 nan 54.2813159999999967908 25.0161400000000000432 5.98500000000000031974 nan 25.6879239999999988697 41.5312389999999993506 5.46900000000000030553 
10000000 8.35899999999999998579 6.28099999999999969447 46.6090239999999980114 nan 60.9222340000000031068 26.5471490000000009957 7.21900000000000030553 nan 26.8441510000000000957 46.4061620000000019104 5.92199999999999970868 
