Module;Function;Mehtod;Domain;Input;Average;StandDev;Min;Max;Median;Range
n_queens;queens_array;perf_event;energy-pkg;6;0.01078491212;0.01883745393517345;0.0032348633;0.0642700195;0.0046691895;0.061035156199999996
n_queens;queens_array;perf_event;energy-pkg;7;0.01240844727;0.0006711092387233641;0.0111694336;0.0134277344;0.0124206543;0.0022583008
n_queens;queens_array;perf_event;energy-pkg;8;0.04504394533;0.003163508415549014;0.0419311523;0.0510864258;0.0440979004;0.009155273499999998
n_queens;queens_array;perf_event;energy-pkg;9;0.22120971679;0.01078172784062547;0.2052001953;0.2362670898;0.22137451175;0.031066894499999997
n_queens;queens_array;perf_event;energy-pkg;10;1.14721069335;0.026479512424754534;1.1148071289;1.2106323242;1.13803100585;0.0958251953
n_queens;queens_array;perf_event;energy-pkg;11;6.3113403320299994;0.06231703734060701;6.2515869141;6.4276123047;6.2887878418;0.17602539060000044
n_queens;queens_array;perf_event;energy-pkg;12;38.99822998049;0.2775761044327329;38.5156860352;39.3966064453;38.99801635745;0.8809204101000034
n_queens;queens_array;perf_event;energy-ram;6;0.0035583496000000004;0.006754315239907163;0.0012207031;0.0227661133;0.00131225585;0.0215454102
n_queens;queens_array;perf_event;energy-ram;7;0.00357666016;3.151839011121397e-05;0.0035400391;0.0036010742;0.0036010742;6.1035100000000116e-05
n_queens;queens_array;perf_event;energy-ram;8;0.00665893556;0.0005036787291478682;0.0059814453;0.0075073242;0.0065917969;0.0015258789000000004
n_queens;queens_array;perf_event;energy-ram;9;0.02210083007;0.0019882956351665883;0.0202026367;0.0258789063;0.02169799805;0.005676269600000002
n_queens;queens_array;perf_event;energy-ram;10;0.09052124025;0.004632729625202091;0.0838623047;0.0979614258;0.09075927735;0.0140991211
n_queens;queens_array;perf_event;energy-ram;11;0.48128051758;0.013570807035676912;0.4653320313;0.5018310547;0.4747314453;0.0364990234
n_queens;queens_array;perf_event;energy-ram;12;3.04992675782;0.022008513413853396;3.0036010742;3.0718383789;3.05587768555;0.06823730469999978
n_queens;queens_array;sysfs;energy-cores;6;0.0030395989500000002;0.0033073282995869755;0.0018919995;0.0124509931;0.002014;0.0105589936
n_queens;queens_array;sysfs;energy-cores;7;0.00588979794;0.0001779400505694682;0.0056759976;0.0061649978;0.00588999685;0.0004890001999999999
n_queens;queens_array;sysfs;energy-cores;8;0.0325743854;0.0036893751317043067;0.0250249952;0.0370479822;0.03356948495;0.012022987000000002
n_queens;queens_array;sysfs;energy-cores;9;0.17696503401;0.010945324461772198;0.1573489904;0.1922599077;0.1770629287;0.03491091730000001
n_queens;queens_array;sysfs;energy-cores;10;0.95174298284;0.025534829443990586;0.9191255569;1.012509346;0.9444248676;0.09338378910000011
n_queens;queens_array;sysfs;energy-cores;11;5.25235900878;0.05729109915355793;5.1980438232;5.3659515381;5.23457336425;0.16790771490000012
n_queens;queens_array;sysfs;energy-cores;12;32.3946044922;0.289404869754608;32.0138244629;32.8958435059;32.35400390625;0.8820190429999997
n_queens;queens_array;sysfs;energy-gpu;6;0.0;0.0;0.0;0.0;0.0;0.0
n_queens;queens_array;sysfs;energy-gpu;7;0.0;0.0;0.0;0.0;0.0;0.0
n_queens;queens_array;sysfs;energy-gpu;8;0.0;0.0;0.0;0.0;0.0;0.0
n_queens;queens_array;sysfs;energy-gpu;9;0.0005554;0.0009199544916280732;0.0;0.002319;0.0;0.002319
n_queens;queens_array;sysfs;energy-gpu;10;0.0006837;0.0008392118061345154;0.0;0.002197;0.000214;0.002197
n_queens;queens_array;sysfs;energy-gpu;11;0.0027892999999999998;0.0016155785375868024;0.0;0.004578;0.0032960000000000003;0.004578
n_queens;queens_array;sysfs;energy-gpu;12;0.0134215;0.010380899278643125;0.001099;0.02478;0.016876000000000002;0.023681
n_queens;queens_array;sysfs;energy-pkg;6;0.0121948;0.019063698165186455;0.005005;0.066406;0.006592;0.061401000000000004
n_queens;queens_array;sysfs;energy-pkg;7;0.0143433;0.0013012607604422205;0.011169;0.015686;0.0143735;0.0045169999999999984
n_queens;queens_array;sysfs;energy-pkg;8;0.0458006;0.0038930223391772786;0.038635;0.052612;0.044464000000000004;0.013976999999999996
n_queens;queens_array;sysfs;energy-pkg;9;0.2230035;0.011067153033991075;0.2052;0.238524;0.2232355;0.03332400000000002
n_queens;queens_array;sysfs;energy-pkg;10;1.1489475;0.02652536722648717;1.117185;1.212766;1.138974;0.09558099999999992
n_queens;queens_array;sysfs;energy-pkg;11;6.3130697;0.061929709903065094;6.254074;6.427596;6.2909690000000005;0.17352200000000018
n_queens;queens_array;sysfs;energy-pkg;12;38.9993998;0.2779403300153951;38.517357;39.399314;39.000052999999994;0.8819569999999999
n_queens;queens_array;sysfs;energy-ram;6;0.0041382;0.0065490822054188125;0.001892;0.022766;0.002014;0.020874
n_queens;queens_array;sysfs;energy-ram;7;0.004187;0.0003283159047827767;0.00354;0.004395;0.0043335000000000005;0.0008549999999999994
n_queens;queens_array;sysfs;energy-ram;8;0.0070738;0.0006488137551631353;0.005981;0.007873;0.007202;0.0018919999999999996
n_queens;queens_array;sysfs;energy-ram;9;0.0223937;0.0020367183326780035;0.020202;0.026062;0.0220645;0.005859999999999997
n_queens;queens_array;sysfs;energy-ram;10;0.0908446;0.004333868074698272;0.084656;0.097595;0.0910945;0.012939000000000006
n_queens;queens_array;sysfs;energy-ram;11;0.4815721;0.013453476762119486;0.465331;0.501829;0.4754625;0.036497999999999975
