N list-find/recursive map-find/find dict-find/fetch dict-find/find map-find/find-pattern-match list-find/get-value list-find/keyfind 
100 0E-20 0.359999999999999986677 1.54699999999999993072 1.57800000000000006928 0.203000000000000013767 0E-20 0E-20 
500 0E-20 0.344999999999999973355 1.37500000000000000000 1.54699999999999993072 0.203000000000000013767 0E-20 0E-20 
1000 0E-20 0.311999999999999999556 1.59400000000000008349 1.67199999999999993072 0.266000000000000014211 0E-20 0E-20 
5000 0.0160000000000000003331 0.281000000000000027534 1.34400000000000008349 1.31200000000000005507 0.234999999999999986677 0.0459999999999999992228 0E-20 
10000 0.0470000000000000001110 0.313000000000000000444 1.53099999999999991651 1.45300000000000006928 0.266000000000000014211 0.0630000000000000004441 0.0160000000000000003331 
20000 0.0940000000000000002220 0.436999999999999999556 1.42199999999999993072 1.59400000000000008349 0.281000000000000027534 0.125000000000000000000 0.0309999999999999997780 
30000 0.140999999999999986455 0.406999999999999972911 1.48399999999999998579 1.39100000000000001421 0.266000000000000014211 0.186999999999999999556 0.0619999999999999995559 
40000 0.188000000000000000444 0.391000000000000014211 1.26600000000000001421 1.53099999999999991651 0.266000000000000014211 0.250000000000000000000 0.0630000000000000004441 
50000 0.234000000000000013545 0.562999999999999944933 1.56299999999999994493 1.63999999999999990230 0.406000000000000027534 0.313000000000000000444 0.0940000000000000002220 
60000 0.281999999999999972911 0.468999999999999972466 1.17199999999999993072 1.37500000000000000000 0.328000000000000013767 0.391000000000000014211 0.110000000000000000555 
70000 0.343999999999999972466 0.406999999999999972911 1.14100000000000001421 1.26600000000000001421 0.296999999999999986233 0.453000000000000013767 0.125000000000000000000 
80000 0.376000000000000000888 0.390000000000000013323 1.15599999999999991651 1.25099999999999988987 0.266000000000000014211 0.516000000000000014211 0.140999999999999986455 
90000 0.436999999999999999556 0.468999999999999972466 1.25000000000000000000 1.37500000000000000000 0.329000000000000014655 0.577999999999999958256 0.155999999999999999778 
100000 0.484999999999999986677 0.468000000000000027089 1.31299999999999994493 1.43799999999999994493 0.329000000000000014655 0.656000000000000027534 0.186999999999999999556 
200000 0.984999999999999986677 0.390000000000000013323 1.28099999999999991651 1.40700000000000002842 0.281000000000000027534 1.32800000000000006928 0.343999999999999972466 
300000 1.53099999999999991651 0.406999999999999972911 1.34299999999999997158 1.40599999999999991651 0.281000000000000027534 2.01600000000000001421 0.625000000000000000000 
400000 2.06300000000000016698 0.421999999999999986233 1.23500000000000009770 1.32800000000000006928 0.281000000000000027534 2.71899999999999986144 0.891000000000000014211 
500000 2.59299999999999997158 0.391000000000000014211 1.28099999999999991651 1.39100000000000001421 0.281000000000000027534 3.39100000000000001421 1.18700000000000005507 
600000 3.09399999999999986144 0.438000000000000000444 1.17100000000000004086 1.26600000000000001421 0.281999999999999972911 4.06299999999999972289 1.34400000000000008349 
700000 3.60999999999999987566 0.500000000000000000000 1.18700000000000005507 1.29699999999999993072 0.359999999999999986677 4.71900000000000030553 1.56299999999999994493 
800000 4.11000000000000031974 0.406999999999999972911 1.39100000000000001421 1.45300000000000006928 0.281000000000000027534 5.40599999999999969447 1.87500000000000000000 
900000 4.62500000000000000000 0.484999999999999986677 1.37500000000000000000 1.48500000000000009770 0.343999999999999972466 6.09400000000000030553 2.07799999999999984723 
1000000 5.17100000000000026290 0.484999999999999986677 1.14100000000000001421 1.21999999999999997335 0.359999999999999986677 6.75000000000000000000 2.31199999999999983302 
2000000 10.2500000000000000000 0.436999999999999999556 nan nan 0.281999999999999972911 13.3750000000000000000 4.64100000000000001421 
3000000 15.3130000000000006111 0.531000000000000027534 nan nan 0.343000000000000027089 20.0150000000000005684 6.82800000000000029132 
4000000 20.3440000000000011937 0.843999999999999972466 nan nan 0.375000000000000000000 26.6570000000000000284 9.14000000000000056843 
5000000 25.3279999999999994031 0.532000000000000028422 nan nan 0.313000000000000000444 33.2969999999999970441 10.7029999999999994031 
6000000 30.4220000000000005969 0.891000000000000014211 nan nan 0.375000000000000000000 39.8119999999999976126 12.6560000000000005826 
7000000 35.4380000000000023874 0.453000000000000013767 nan nan 0.375000000000000000000 46.4059999999999988063 15.9679999999999999716 
8000000 40.4837109999999995580 0.453000000000000013767 nan nan 0.390000000000000013323 53.6560970000000025948 17.7340260000000000673 
9000000 45.6250810000000015521 0.468999999999999972466 nan nan 0.375000000000000000000 59.6091490000000021610 19.1720289999999984332 
10000000 50.5461779999999976098 0.375000000000000000000 nan nan 0.296999999999999986233 66.5304110000000008540 23.2657910000000001105 
