N list-find/recursive map-find/find dict-find/fetch dict-find/find map-find/find-pattern-match list-find/get-value list-find/keyfind 
100 0.0 1160360.21 8175855.35 6954325.264000001 573310.9 0 0.0 
500 0.0 2141262.6 8413508.739999998 8044108.49 880405.5599999999 0.0 0 
1000 0 347488.9 7331345.24 9965235.9 368177.01 0 0 
5000 0 313558.62 7282551.250000002 9056869.16 284060.01 0 0.0 
10000 0 430753.77 9467402.0 7543395.840000001 576459.2699999999 0.0 0.0 
20000 0.0 1247498.1 10252440.450000001 7009123.079999998 705137.7860000001 0.0 0 
30000 103444.19399999999 530888.61 9551272.959999999 8565477.03 497091.79000000004 414987.326 0.0 
40000 690637.1599999999 1261082.2600000002 8903012.459999999 9650227.126 419180.14 558274.88 0.0 
50000 654624.515 3403465.0799999996 9334328.25 12171663.31 1415627.9899999998 740735.8300000001 0 
60000 569584.76 1306154.15 7278764.005 9699317.17 713569.755 2337392.0300000003 318689.82 
70000 1526719.9 1041436.8800000001 8062864.7299999995 7364232.720000001 808687.71 1474411.8699999999 368419.56 
80000 1426624.5000000002 1230141.95 7253289.625 7378167.549999999 437902.62 3988702.63 328953.496 
90000 861001.2300000001 1252195.6300000001 7426908.1049999995 7980565.85 809343.47 3383184.31 462228.99000000005 
100000 1160929.3900000001 744020.62 8085655.209999999 8043348.919999999 1265087.67 4554150.2 289855.21499999997 
200000 6251069.569999999 1380204.85 8892716.329999998 6248017.090000002 166782.145 8618489.384 822698.9400000001 
300000 6842514.45 1114207.2 7393595.540000001 7001865.38 256320.12999999998 10648503.698 3722022.7299999995 
400000 11541481.410000002 470736.61 6323832.2700000005 4503142.0600000005 746699.14 14557742.830000002 4705455.886 
500000 13338540.46 1009552.24 7783336.4180000005 4972921.826 1294138.7550000001 17108967.720000006 8198902.300000002 
600000 16509733.969999999 1504149.9340000001 7357906.344999999 3083180.2800000003 268417.54 19659662.479999997 6378486.9 
700000 18794666.999999996 604859.8099999999 6620506.75 6232527.89 297666.68 23502800.68 8477829.852 
800000 20738173.48 955184.026 8069783.109999999 8753406.114000002 1289789.8939999999 25120649.406000003 9947156.896000002 
900000 23879989.780000005 655739.5900000001 8544306.42 10375796.320000002 898200.35 29818746.950000007 11134982.200000001 
1000000 25420727.06399999 605739.5 7378377.5 7191219.8 981733.1300000001 29714430.514999997 13509696.8 
2000000 42752896.33 1510103.49 nan nan 1225433.33 54884747.029999994 21009296.28000001 
3000000 57818313.489999995 1663268.6 nan nan 1230145.9899999998 69849498.05999999 29374968.35 
4000000 72579543.56999998 3795599.4299999997 nan nan 465485.0300000001 85585579.60000005 36495229.756 
5000000 81500062.47 2338364.54 nan nan 490376.855 101844071.76 39832912.96999999 
6000000 94388675.81999995 2006079.67 nan nan 2006079.67 110394498.7 47335204.65 
7000000 99953196.76999998 1251692.255 nan nan 1085829.5100000002 124485160.43000004 56055774.18999998 
8000000 108871565.306 913693.32 nan nan 1062644.49 133873273.33999994 56164902.44 
9000000 117055686.53000002 1190629.78 nan nan 1190629.78 140420294.76999992 60395427.66000001 
10000000 127321278.33000016 352318.0 nan nan 339020.294 155387706.29 70083109.79 
