N fibonacci/ordparmap fibonacci/parmap farm/fib 
500 100559.97 80056.544 0 
1000 285975.31 0 140931.91999999998 
1500 0.0 252327.75 316083.02 
2000 383256.82999999996 140850.96000000002 112801.48999999999 
2500 642070.0700000001 335086.48 158000.46000000002 
