N fibonacci/ordparmap fibonacci/parmap farm/fib 
500 0E-20 0.0160000000000000003331 0E-20 
1000 0.0309999999999999997780 0.0160000000000000003331 0E-20 
1500 0.0470000000000000001110 0.0470000000000000001110 0.0160000000000000003331 
2000 0.0619999999999999995559 0.0470000000000000001110 0.0160000000000000003331 
2500 0.0630000000000000004441 0.0630000000000000004441 0.0309999999999999997780 
