N list-delete/recursive map-delete/remove list-delete/keytake 
100 0.0 6299771.15 0 
500 0.0 4473531.43 0.0 
1000 0 5806176.49 0 
5000 0 4862578.51 0.0 
10000 249924.05999999997 5524492.446 733899.87 
20000 533076.854 5914003.69 537054.9 
30000 275107.5 13753989.959999999 1548064.5399999998 
40000 3782876.0099999993 12522857.243999999 3066028.406 
50000 4455099.3 17354719.60000001 2991279.84 
60000 4522257.369999999 16625743.259999994 3807738.9800000004 
70000 4378561.15 14694479.260000002 2923510.544 
80000 5829186.75 11982782.959999997 4710308.844 
90000 5526629.700000001 18613111.490000002 7121347.804 
100000 5721765.17 18592265.686000008 1571760.2600000002 
200000 0.0 15933057.500000004 0 
300000 137386.38999999998 17345121.37 9629708.106000002 
400000 2591326.2600000002 16288885.849999998 23805384.229999997 
500000 180133.63999999998 14862463.1 7032660.686000002 
600000 2694270.7079999996 17136067.094 3542428.284999999 
700000 5031587.476000001 318755.72000000003 7628505.595000001 
800000 41278941.164000005 205566.58399999997 173877.285 
900000 6657457.953999998 406989.24 638379.3150000001 
1000000 7086834.793 136913.13999999998 753538.304 
2000000 15374629.559 809606.4919999999 9141968.570000002 
3000000 22646240.442999996 5904543.43 16732473.919000005 
4000000 114715567.74000004 4626583.369999999 94544901.19199994 
5000000 132340619.026 10226041.538999999 128933075.68200001 
6000000 140817246.15000004 7803350.096000001 131661683.28999993 
7000000 170357237.32999992 7176973.605999999 178430847.6700001 
8000000 175325522.70000002 16160821.353999998 174083950.785 
9000000 184079061.8000001 17329042.174000002 165582636.93900007 
10000000 222519431.54000005 15774564.01 226651516.27399987 
