N list-delete/recursive map-delete/remove list-delete/keytake 
100 0E-20 1.20399999999999995914 0E-20 
500 0E-20 0.687000000000000055067 0E-20 
1000 0.0149999999999999994449 0.858999999999999985789 0E-20 
5000 0.0459999999999999992228 0.782000000000000028422 0.0779999999999999998890 
10000 0.0940000000000000002220 0.968999999999999972466 0.171999999999999986233 
20000 0.250000000000000000000 0.953999999999999959144 0.328000000000000013767 
30000 0.375000000000000000000 2.64000000000000012434 0.531000000000000027534 
40000 0.625000000000000000000 2.39100000000000001421 0.593999999999999972466 
50000 0.577999999999999958256 3.39100000000000001421 0.827999999999999958256 
60000 0.657000000000000028422 3.18900000000000005684 0.702999999999999958256 
70000 1.07800000000000006928 2.39000000000000012434 1.07800000000000006928 
80000 1.12500000000000000000 2.50000000000000000000 1.25000000000000000000 
90000 1.15599999999999991651 3.25000000000000000000 1.25000000000000000000 
100000 1.31299999999999994493 3.42200000000000015277 1.57800000000000006928 
200000 2.78100000000000013856 3.18699999999999983302 3.14100000000000001421 
300000 4.25000000000000000000 3.21899999999999986144 4.89100000000000001421 
400000 4.46900000000000030553 3.23399999999999998579 4.87500000000000000000 
500000 6.89100000000000001421 3.04700000000000015277 8.10999999999999943157 
600000 8.53100000000000058265 3.14000000000000012434 9.35899999999999998579 
700000 8.76500000000000056843 3.26600000000000001421 9.87500000000000000000 
800000 8.73399999999999998579 3.12500000000000000000 9.71899999999999941735 
900000 11.1250000000000000000 3.18800000000000016698 12.8750000000000000000 
1000000 12.2500000000000000000 3.12500000000000000000 13.7660000000000000142 
2000000 22.1559999999999988063 3.12500000000000000000 24.1879999999999988347 
3000000 37.2809999999999988063 3.51600000000000001421 43.1250000000000000000 
4000000 50.3440000000000011937 3.53200000000000002842 57.4540000000000006253 
5000000 61.8909999999999982379 3.84399999999999986144 70.2819999999999964757 
6000000 66.7339489999999955216 3.57799999999999984723 72.3278119999999944412 
7000000 89.5164280000000047721 3.95299999999999984723 103.250321999999997047 
8000000 91.0628179999999929350 4.09400000000000030553 101.796796000000000504 
9000000 93.1245849999999961710 3.79700000000000015277 100.984640999999996325 
10000000 124.562526000000005411 3.59399999999999986144 143.563546000000002323 
