N farm/fib fibonacci/parmap fibonacci/ordparmap 
500 34.0000000000000000000 40.6099999999999994316 39.2969999999999970441 
1000 74.6410000000000053433 81.1089999999999946567 81.2030000000000029559 
1500 120.500000000000000000 122.188203999999998928 123.218598999999997545 
2000 163.375000000000000000 162.561744000000004462 162.531846999999999070 
2500 203.000000000000000000 204.828284999999993943 205.546389000000004899 
