N map-update-one/update list-update-one/recursive list-update-one/keyreplace list-update-one/keystore 
100 4275962.83 0 0.0 0.0 
500 5140328.539999999 0.0 0.0 0 
1000 7890532.529999999 0.0 0.0 0 
5000 5660337.209999999 0 0.0 212195.87999999998 
10000 6532356.809999999 0.0 0.0 453992.86999999994 
20000 7478677.054 854078.51 464204.6 481547.18000000005 
30000 15101080.039999997 1432906.98 1327380.0350000001 1399088.916 
40000 13878164.76 3973197.8199999994 3916182.9 4998799.1899999995 
50000 18947890.174000002 3567712.7300000004 4642229.87 3294363.6799999997 
60000 16727189.810000002 3373567.1700000004 6690517.869999999 4026276.94 
70000 14178391.589999998 2700885.77 4554037.85 7490813.659999999 
80000 13485897.440000001 4520246.18 4439254.35 6022877.420000001 
90000 16027909.116 6130389.435 5416933.45 5506730.006 
100000 17790258.240000002 5004522.126 7073326.709999999 6845980.446 
200000 18423173.99 542783.1799999999 123799.1 399264.57999999996 
300000 16126071.494000003 191381.83500000002 251985.89000000004 110371.48000000001 
400000 25157950.5 450822.13599999994 0.0 0.0 
500000 16843154.93 1624033.1539999996 186035.155 148117.42 
600000 16871833.72 2693516.664 135944.196 2654777.8789999997 
700000 1574634.0399999998 339516.474 467588.7899999999 471344.9460000001 
800000 372766.48 3687527.868 45371648.05 7224950.825 
900000 91795.75600000001 1271122.165 2305504.175 2075748.537 
1000000 750597.21 7266214.244 48893930.23500001 8250923.586000001 
2000000 1428382.1039999998 19997522.379000004 18971766.682000004 21063976.560999993 
3000000 1530050.685 27426304.8 24966230.070999995 28900247.63499999 
4000000 5652929.578999998 117721851.35600004 126579915.14600003 118609745.55800016 
5000000 11897666.614000004 138343897.14400005 154126105.84 138669666.68600005 
6000000 9188009.892 133084390.41399999 139351803.01000005 139852951.72999996 
7000000 5974151.359999999 177967914.9650001 177328841.004 197056670.39599997 
8000000 18138633.03 196413480.73499995 201396894.03500006 197831251.65000007 
9000000 19086532.523999996 193841470.78399998 200706855.70400006 204325601.8 
10000000 12262777.593999999 195512714.29000002 201213798.6636 217254830.3550001 
