N map-update-one/update list-update-one/recursive list-update-one/keyreplace list-update-one/keystore 
100 1.06299999999999994493 0E-20 0E-20 0E-20 
500 0.891000000000000014211 0E-20 0E-20 0E-20 
1000 1.04600000000000004086 0E-20 0E-20 0E-20 
5000 0.983999999999999985789 0.0309999999999999997780 0.0309999999999999997780 0.0470000000000000001110 
10000 1.14100000000000001421 0.0779999999999999998890 0.0619999999999999995559 0.0779999999999999998890 
20000 1.18799999999999994493 0.171999999999999986233 0.171999999999999986233 0.171999999999999986233 
30000 2.79700000000000015277 0.359999999999999986677 0.375000000000000000000 0.375000000000000000000 
40000 2.93800000000000016698 0.625000000000000000000 0.657000000000000028422 0.641000000000000014211 
50000 3.75000000000000000000 0.687000000000000055067 0.734999999999999986677 0.718999999999999972466 
60000 3.56300000000000016698 0.718999999999999972466 0.734999999999999986677 0.750000000000000000000 
70000 2.67200000000000015277 1.09400000000000008349 1.12500000000000000000 1.13999999999999990230 
80000 2.59399999999999986144 1.11000000000000009770 1.15599999999999991651 1.18700000000000005507 
90000 3.42200000000000015277 1.14100000000000001421 1.17199999999999993072 1.15599999999999991651 
100000 3.46899999999999986144 1.32800000000000006928 1.21900000000000008349 1.25000000000000000000 
200000 3.51500000000000012434 2.78100000000000013856 2.82799999999999984723 2.84399999999999986144 
300000 3.46899999999999986144 3.98399999999999998579 4.17199999999999970868 4.21900000000000030553 
400000 3.51500000000000012434 4.50000000000000000000 4.73399999999999998579 4.81200000000000027711 
500000 3.31199999999999983302 7.01600000000000001421 7.39100000000000001421 7.36000000000000031974 
600000 3.32900000000000018119 8.07799999999999940314 8.43800000000000061107 8.50000000000000000000 
700000 3.59399999999999986144 8.37500000000000000000 8.85899999999999998579 8.98399999999999998579 
800000 3.37500000000000000000 8.64000000000000056843 9.20400000000000062528 9.18699999999999938893 
900000 3.46899999999999986144 11.8140000000000000568 12.4060000000000005826 12.5000000000000000000 
1000000 3.54599999999999981881 12.4369999999999993889 12.9369999999999993889 13.0779999999999994031 
2000000 3.35999999999999987566 26.4849999999999994316 27.8290000000000006253 27.9690000000000011937 
3000000 3.73499999999999987566 36.6719999999999970441 38.7030000000000029559 38.9849999999999994316 
4000000 4.15599999999999969447 51.7659999999999982379 54.4211680000000015411 54.7346709999999987417 
5000000 3.90700000000000002842 62.2189690000000013015 65.5315209999999979118 65.7190559999999948104 
6000000 3.92200000000000015277 62.8117080000000029827 67.0156649999999984857 67.5626620000000031041 
7000000 4.23399999999999998579 87.5928049999999984720 91.8129519999999956781 92.3599839999999971951 
8000000 4.29699999999999970868 102.827961000000001945 107.374441000000004465 107.905779999999992924 
9000000 4.07899999999999973710 108.235314999999999941 113.907773000000005936 113.562319999999999709 
10000000 4.18799999999999972289 107.468957000000003177 114.469436000000001741 114.953570999999996616 
