Module;Function;Mehtod;Domain;Input;Average;StandDev;Min;Max;Median;Range
dict_find;fetch;sysfs;energy-pkg;100;3.5574;0.0188;3.536;3.5883;3.5528;0.0523
dict_find;fetch;sysfs;energy-pkg;500;3.3887;0.0226;3.3583;3.4124;3.3937;0.0541
dict_find;fetch;sysfs;energy-pkg;1000;3.8391;0.0191;3.8177;3.8742;3.8392;0.0565
dict_find;fetch;sysfs;energy-pkg;5000;3.3308;0.0223;3.3055;3.3564;3.3282;0.0509
dict_find;fetch;sysfs;energy-pkg;10000;3.6239;0.0275;3.5925;3.6791;3.6187;0.0866
dict_find;fetch;sysfs;energy-pkg;20000;3.6029;0.0242;3.5753;3.6359;3.5968;0.0606
dict_find;fetch;sysfs;energy-pkg;30000;3.3612;0.018;3.3373;3.3887;3.3621;0.0514
dict_find;fetch;sysfs;energy-pkg;40000;3.4367;0.0303;3.4004;3.4878;3.4374;0.0874
dict_find;fetch;sysfs;energy-pkg;50000;3.8798;0.0292;3.8306;3.9141;3.8765;0.0835
dict_find;fetch;sysfs;energy-pkg;60000;3.3707;0.0177;3.3481;3.3934;3.3713;0.0453
dict_find;fetch;sysfs;energy-pkg;70000;3.3613;0.013;3.3439;3.3832;3.3585;0.0393
dict_find;fetch;sysfs;energy-pkg;80000;3.3685;0.0256;3.3378;3.4044;3.3757;0.0666
dict_find;fetch;sysfs;energy-pkg;90000;3.495;0.0246;3.4672;3.5301;3.4921;0.0629
dict_find;fetch;sysfs;energy-pkg;100000;3.6659;0.0256;3.6384;3.7095;3.6591;0.0711
dict_find;fetch;sysfs;energy-pkg;200000;3.6134;0.0176;3.59;3.6431;3.6142;0.0531
dict_find;fetch;sysfs;energy-pkg;300000;3.6038;0.0155;3.5837;3.6317;3.6049;0.048
dict_find;fetch;sysfs;energy-pkg;400000;3.4193;0.0197;3.3919;3.4466;3.4129;0.0547
dict_find;fetch;sysfs;energy-pkg;500000;3.6077;0.0167;3.5868;3.6329;3.6031;0.0461
dict_find;fetch;sysfs;energy-pkg;600000;3.3315;0.0183;3.3118;3.3599;3.3308;0.0481
dict_find;fetch;sysfs;energy-pkg;700000;3.4104;0.0124;3.3921;3.4295;3.4084;0.0374
dict_find;fetch;sysfs;energy-pkg;800000;3.8011;0.0333;3.7614;3.8556;3.7985;0.0942
dict_find;fetch;sysfs;energy-pkg;900000;3.8724;0.0273;3.8371;3.9092;3.8759;0.0721
