N map/list-comprehension-named map/list-comprehension map/list-comprehension-fun 
10000 0E-20 0E-20 0E-20 
50000 0.0149999999999999994449 0.0160000000000000003331 0.0160000000000000003331 
100000 0.0160000000000000003331 0.0160000000000000003331 0E-20 
500000 0.250000000000000000000 0.234000000000000013545 0.250000000000000000000 
1000000 0.672000000000000041744 0.640000000000000013323 0.687999999999999944933 
2000000 1.51499999999999990230 1.45300000000000006928 1.53099999999999991651 
3000000 2.39100000000000001421 2.26500000000000012434 2.39100000000000001421 
4000000 2.84399999999999986144 2.68699999999999983302 2.84399999999999986144 
5000000 3.75000000000000000000 3.59399999999999986144 3.79599999999999981881 
6000000 4.51499999999999968026 4.29699999999999970868 4.51600000000000001421 
7000000 5.20300000000000029132 4.89100000000000001421 5.15599999999999969447 
8000000 2.23399999999999998579 1.90700000000000002842 2.21899999999999986144 
9000000 5.92199999999999970868 5.53099999999999969447 5.96900000000000030553 
10000000 7.03099999999999969447 6.75000000000000000000 7.03200000000000002842 
