N farm/worker-named-function farm/named-function farm/worker-fun-expression farm/eliminate-all farm/fun-expression 
100000 7696409.015999998 8790619.55 7431294.57 6733594.273999999 7719312.5200000005 
200000 21884153.58 23006118.21 15945743.230000004 20161224.970000003 21949575.209999997 
300000 17480237.890000008 17397504.39 18063018.865000002 15848550.395999994 17923371.984999996 
400000 20212199.25 23717493.49899999 23184400.553999998 26257279.106 25592832.92000001 
500000 31313766.779999994 29665235.310000002 nan 26528775.38200001 22779468.091 
600000 30012512.750000007 36811011.11799999 32698666.24199999 31589023.015000004 38494196.403 
700000 33073360.522000004 48316310.14000001 31749284.116000004 32272771.34799999 50069695.26999999 
800000 40067915.93 31444110.165 39323697.663 39820908.40000002 38094229.992 
900000 42685414.521000005 41640846.662 42145271.84300001 47971315.19199999 42827606.491000004 
1000000 45172785.35200001 43259684.98200002 38962996.224000014 48310711.23099999 42998055.26600001 
