N farm/worker-named-function farm/named-function farm/worker-fun-expression farm/eliminate-all farm/fun-expression 
100000 1.40599999999999991651 1.37500000000000000000 1.42100000000000004086 1.39199999999999990408 1.45300000000000006928 
200000 3.17099999999999981881 3.07799999999999984723 3.25000000000000000000 3.09299999999999997158 3.01500000000000012434 
300000 5.15599999999999969447 5.01700000000000034817 5.03099999999999969447 5.10899999999999998579 4.92199999999999970868 
400000 6.50000000000000000000 6.60899999999999998579 6.59299999999999997158 6.62500000000000000000 6.60899999999999998579 
500000 8.47000000000000063949 8.75000000000000000000 8.28100000000000058265 8.71799999999999997158 8.62299999999999933209 
600000 10.5169999999999994600 10.0619999999999993889 10.5169999999999994600 10.2179999999999999716 10.0160000000000000142 
700000 12.4990000000000005542 12.0160000000000000142 12.5310000000000005826 12.2959999999999993747 12.1720000000000005969 
800000 14.4519999999999999574 13.8599999999999994316 14.2660000000000000142 14.2799999999999993605 14.2810000000000005826 
900000 15.5470000000000005969 16.0629999999999988347 16.0470000000000005969 15.8910000000000000142 15.9209999999999993747 
1000000 18.2809999999999988063 18.1870000000000011653 18.1239999999999987779 18.5929999999999999716 18.5779999999999994031 
