N map-delete/without dict-delete/take list-delete/keytake map-delete/remove map-delete/take list-delete/recursive 
100 1.32800000000000006928 0E-20 0E-20 1.20399999999999995914 1.65599999999999991651 0E-20 
500 1.00000000000000000000 0E-20 0E-20 0.687000000000000055067 0.718999999999999972466 0E-20 
1000 1.20300000000000006928 0E-20 0E-20 0.858999999999999985789 0.875000000000000000000 0.0149999999999999994449 
5000 1.09299999999999997158 0E-20 0.0779999999999999998890 0.782000000000000028422 0.812999999999999944933 0.0459999999999999992228 
10000 1.23500000000000009770 0E-20 0.171999999999999986233 0.968999999999999972466 0.952999999999999958256 0.0940000000000000002220 
20000 2.92200000000000015277 0E-20 0.328000000000000013767 0.953999999999999959144 2.35999999999999987566 0.250000000000000000000 
30000 3.03100000000000013856 0E-20 0.531000000000000027534 2.64000000000000012434 2.81300000000000016698 0.375000000000000000000 
40000 2.75000000000000000000 0E-20 0.593999999999999972466 2.39100000000000001421 2.54700000000000015277 0.625000000000000000000 
50000 3.78100000000000013856 0E-20 0.827999999999999958256 3.39100000000000001421 3.50000000000000000000 0.577999999999999958256 
60000 3.59399999999999986144 0E-20 0.702999999999999958256 3.18900000000000005684 3.29700000000000015277 0.657000000000000028422 
70000 2.75000000000000000000 0E-20 1.07800000000000006928 2.39000000000000012434 2.56300000000000016698 1.07800000000000006928 
80000 3.07900000000000018119 0E-20 1.25000000000000000000 2.50000000000000000000 2.64000000000000012434 1.12500000000000000000 
90000 3.68800000000000016698 0E-20 1.25000000000000000000 3.25000000000000000000 3.42200000000000015277 1.15599999999999991651 
100000 3.79599999999999981881 0E-20 1.57800000000000006928 3.42200000000000015277 3.53100000000000013856 1.31299999999999994493 
200000 3.59399999999999986144 0.0160000000000000003331 3.14100000000000001421 3.18699999999999983302 3.28100000000000013856 2.78100000000000013856 
300000 3.56300000000000016698 0E-20 4.89100000000000001421 3.21899999999999986144 3.28100000000000013856 4.25000000000000000000 
400000 3.64100000000000001421 0.0149999999999999994449 4.87500000000000000000 3.23399999999999998579 3.31300000000000016698 4.46900000000000030553 
500000 3.42200000000000015277 0.0160000000000000003331 8.10999999999999943157 3.04700000000000015277 3.12500000000000000000 6.89100000000000001421 
600000 3.43800000000000016698 0.0309999999999999997780 9.35899999999999998579 3.14000000000000012434 3.17200000000000015277 8.53100000000000058265 
700000 3.57799999999999984723 0.0470000000000000001110 9.87500000000000000000 3.26600000000000001421 3.35899999999999998579 8.76500000000000056843 
800000 3.50000000000000000000 0.0470000000000000001110 9.71899999999999941735 3.12500000000000000000 3.21799999999999997158 8.73399999999999998579 
900000 3.48399999999999998579 0.0470000000000000001110 12.8750000000000000000 3.18800000000000016698 3.18800000000000016698 11.1250000000000000000 
1000000 3.45299999999999984723 0.0470000000000000001110 13.7660000000000000142 3.12500000000000000000 3.20299999999999984723 12.2500000000000000000 
2000000 3.45299999999999984723 nan 24.1879999999999988347 3.12500000000000000000 3.17200000000000015277 22.1559999999999988063 
3000000 3.73499999999999987566 nan 43.1250000000000000000 3.51600000000000001421 3.46799999999999997158 37.2809999999999988063 
4000000 3.87500000000000000000 nan 57.4540000000000006253 3.53200000000000002842 3.57799999999999984723 50.3440000000000011937 
5000000 3.76500000000000012434 nan 70.2819999999999964757 3.84399999999999986144 3.48499999999999987566 61.8909999999999982379 
6000000 3.78100000000000013856 nan 72.3278119999999944412 3.57799999999999984723 3.56199999999999983302 66.7339489999999955216 
7000000 3.87500000000000000000 nan 103.250321999999997047 3.95299999999999984723 3.62500000000000000000 89.5164280000000047721 
8000000 3.93699999999999983302 nan 101.796796000000000504 4.09400000000000030553 3.65700000000000002842 91.0628179999999929350 
9000000 3.95299999999999984723 nan 100.984640999999996325 3.79700000000000015277 3.73499999999999987566 93.1245849999999961710 
10000000 3.67200000000000015277 nan 143.563546000000002323 3.59399999999999986144 3.35899999999999998579 124.562526000000005411 
