N map-delete/without dict-delete/take list-delete/keytake map-delete/remove map-delete/take list-delete/recursive 
100 8270809.68 0 0 6299771.15 8073822.714000002 0.0 
500 5874473.68 0.0 0.0 4473531.43 5118030.076 0.0 
1000 8134843.9 0.0 0 5806176.49 5033166.069999999 0 
5000 7170302.949999998 0.0 0.0 4862578.51 6310573.59 0 
10000 7308658.969999999 0 733899.87 5524492.446 6164125.316 249924.05999999997 
20000 14733349.999999996 0 537054.9 5914003.69 12409976.22 533076.854 
30000 16336757.620000001 0 1548064.5399999998 13753989.959999999 13668119.780000001 275107.5 
40000 14977812.105 0 3066028.406 12522857.243999999 14480088.401000002 3782876.0099999993 
50000 21229232.479999997 0.0 2991279.84 17354719.60000001 15342256.789999997 4455099.3 
60000 18447460.84 0 3807738.9800000004 16625743.259999994 17450697.200000007 4522257.369999999 
70000 15093399.62 0.0 2923510.544 14694479.260000002 13059031.599999998 4378561.15 
80000 28031697.626 0.0 4710308.844 11982782.959999997 13582309.210000003 5829186.75 
90000 17047680.34 0 7121347.804 18613111.490000002 20735725.68 5526629.700000001 
100000 17167847.690000005 0 1571760.2600000002 18592265.686000008 24153566.930000003 5721765.17 
200000 17961247.58 0.0 0 15933057.500000004 18441451.050000004 0.0 
300000 22153156.315000005 0.0 9629708.106000002 17345121.37 16540137.785 137386.38999999998 
400000 19540039.945 0 23805384.229999997 16288885.849999998 19436368.11 2591326.2600000002 
500000 16898781.297 0.0 7032660.686000002 14862463.1 17363412.869999997 180133.63999999998 
600000 17018779.669999994 0.0 3542428.284999999 17136067.094 23196111.562 2694270.7079999996 
700000 182396.25 0.0 7628505.595000001 318755.72000000003 0.0 5031587.476000001 
800000 0.0 0 173877.285 205566.58399999997 0 41278941.164000005 
900000 123492.42 0 638379.3150000001 406989.24 0 6657457.953999998 
1000000 0.0 0.0 753538.304 136913.13999999998 0 7086834.793 
2000000 524257.34 nan 9141968.570000002 809606.4919999999 165213.135 15374629.559 
3000000 2476029.7029999997 nan 16732473.919000005 5904543.43 3507618.218 22646240.442999996 
4000000 5097549.514 nan 94544901.19199994 4626583.369999999 2733788.221 114715567.74000004 
5000000 9823271.01 nan 128933075.68200001 10226041.538999999 6467479.164000001 132340619.026 
6000000 10191554.575 nan 131661683.28999993 7803350.096000001 16439124.216 140817246.15000004 
7000000 8564666.075000001 nan 178430847.6700001 7176973.605999999 2587169.026 170357237.32999992 
8000000 18677210.849999998 nan 174083950.785 16160821.353999998 15575395.059999999 175325522.70000002 
9000000 16634558.474000001 nan 165582636.93900007 17329042.174000002 17578182.9 184079061.8000001 
10000000 13674829.344 nan 226651516.27399987 15774564.01 15446340.021000002 222519431.54000005 
