N farm/fib fibonacci/ordparmap fibonacci/parmap 
500 0.0320000000000000006661 0.0470000000000000001110 0.0470000000000000001110 
1000 0.0619999999999999995559 0.0779999999999999998890 0.0779999999999999998890 
1500 0.108999999999999999667 0.140000000000000013323 0.110000000000000000555 
2000 0.140999999999999986455 0.157000000000000000666 0.155999999999999999778 
2500 0.188000000000000000444 0.203999999999999986899 0.171999999999999986233 
