N filter/filter-fun filter/list-comprehension filter/filter-named filter/recursive 
10000 0.0 0.0 0.0 0.0 
50000 0.0 0.0 0.0 0.0 
100000 0.0 0.0 0.0 0.0 
500000 106402.30614000002 0.0 32470.780000000006 0.0 
1000000 214610.18130000003 0.0 240120.50712000002 0.0 
2000000 8593132.618750002 415495.85185000004 2990932.2655019998 133268.825 
3000000 8595647.359199999 1122093.48612 10413289.964567998 2077586.6506250002 
4000000 18898808.410125006 2510688.7569000004 20478729.944110002 3545462.9029 
5000000 30986867.677975003 5766087.780044999 32396140.388898004 8245997.341469999 
6000000 43422130.327751994 17599888.426496003 46890570.95125001 17907742.123743 
7000000 78211732.55449499 22903003.87024 78132309.264288 26368168.090739995 
8000000 107978922.09281704 39599396.22636401 105631264.20474999 59965612.874735996 
9000000 158327603.20776 51261711.50737499 112379423.14695801 52076201.725430004 
10000000 183149341.710384 80160022.445448 118920427.58424498 73224840.85386403 
