N build/map-pattern build/map-put map-build/recursive-from-list build/map-from-list map-build/from-list map-build/recursive-from-list-put 
100 0.0 0.0 0 0.0 0 0.0 
500 0.0 0 0.0 0.0 0.0 0 
1000 0.0 0.0 0 0.0 0 0.0 
5000 161395.46000000002 137667.11000000002 0 0.0 0 0 
10000 78845.675 147329.55 0.0 0 0 0 
20000 0.0 0 0 125340.91 0.0 0.0 
30000 0.0 0 0 0.0 141672.2 0.0 
40000 0.0 0.0 0 0.0 0.0 0 
50000 0 0 0.0 158281.99 196667.3 0 
60000 0 0.0 1637164.9700000002 556954.1300000001 504979.7800000001 0 
70000 0 0.0 0 1014982.6849999999 871037.47 0.0 
80000 0 0.0 958533.7300000001 628872.58 1256547.935 0.0 
90000 0.0 0 3707233.3200000003 391094.76 1121717.196 nan 
100000 0.0 0.0 1525451.16 532180.7899999999 731186.19 0 
200000 0.0 nan 2983805.23 3620790.4800000004 3355738.95 1118443.995 
300000 126381.21 0.0 376257.458 5672642.27 5163558.149999999 494178.82999999996 
400000 440083.19000000006 93057.22 10887090.927999998 8333212.730000001 5486737.550000001 596097.32 
500000 2163584.824 1297929.7049999996 3462663.042999999 9993911.155000001 8223299.801000001 1872738.3049999997 
600000 5224386.601000001 2709276.8419999997 23066743.504999995 10888193.979999999 8977357.649999999 6046402.83 
700000 7246759.610999999 4944290.876 13657529.896000003 12387747.639999999 12224914.780000003 11966840.464999998 
800000 8547537.296999998 5481471.193999999 14967533.383000001 14888767.794 13528692.719999999 23524213.095999997 
900000 14079870.475000003 10364044.815000001 16349425.125 17255206.650000002 15680634.764999997 25888439.301000003 
1000000 15489638.683000004 13608679.594 16989507.408 19756594.46 15348141.410000002 13968851.045999995 
2000000 53094934.030999996 49485081.397 68877753.47000006 33779045.30000001 28496417.383999996 72602240.58999996 
3000000 91086368.45399995 87355685.48200005 95288332.10399993 47315223.27999999 39071680.46 102163825.74600002 
4000000 108627860.98099998 107879901.55800004 116356775.25500003 57443714.60999999 51278230.150000006 120571304.71000004 
5000000 132930142.47299998 129656016.02499995 138469870.93999997 64416111.90999999 59748896.10999997 130932778.23499998 
6000000 152565608.98899996 152731334.63600013 155907433.16500002 74460844.08000001 65877480.21999997 150659531.4799998 
7000000 170149919.29 168192573.596 170734393.52999994 82776423.00999996 74568675.55000004 172610956.49000013 
8000000 185049825.37600005 181109916.54399997 189768838.34999996 90821085.56000002 84111201.13999996 187427690.64000008 
9000000 200202817.11499995 197123541.93999997 199707469.27000007 102716489.43000004 86743985.81400001 199061321.98000005 
10000000 212835068.65000004 212295933.4599999 217352410.79899997 106681578.9 100190427.07000002 215239134.10500008 
