N build/map-pattern build/map-put map-build/recursive-from-list build/map-from-list map-build/from-list map-build/recursive-from-list-put 
100 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
500 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
1000 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
5000 0.0309999999999999997780 0.0149999999999999994449 0E-20 0.0149999999999999994449 0E-20 0.0160000000000000003331 
10000 0.0470000000000000001110 0.0470000000000000001110 0.0459999999999999992228 0.0309999999999999997780 0E-20 0.0459999999999999992228 
20000 0.125000000000000000000 0.125000000000000000000 0.108999999999999999667 0.0630000000000000004441 0.0470000000000000001110 0.108999999999999999667 
30000 0.171000000000000013101 0.219000000000000000222 0.172999999999999987121 0.0940000000000000002220 0.0779999999999999998890 0.186999999999999999556 
40000 0.234000000000000013545 0.250000000000000000000 0.248999999999999999112 0.125000000000000000000 0.108999999999999999667 0.250000000000000000000 
50000 0.343999999999999972466 0.358999999999999985789 0.297999999999999987121 0.171000000000000013101 0.125000000000000000000 0.311999999999999999556 
60000 0.392000000000000015099 0.436999999999999999556 0.373999999999999999112 0.203000000000000013767 0.171999999999999986233 0.391000000000000014211 
70000 0.484999999999999986677 0.515000000000000013323 0.468000000000000027089 0.219000000000000000222 0.203999999999999986899 0.500000000000000000000 
80000 0.593999999999999972466 0.592999999999999971578 0.516000000000000014211 0.266000000000000014211 0.217999999999999999334 0.562000000000000055067 
90000 0.657000000000000028422 0.702999999999999958256 0.608999999999999985789 0.311999999999999999556 0.265000000000000013323 0.641000000000000014211 
100000 0.782000000000000028422 0.766000000000000014211 0.718999999999999972466 0.328000000000000013767 0.281000000000000027534 0.672000000000000041744 
200000 1.68700000000000005507 1.71900000000000008349 1.71900000000000008349 0.687000000000000055067 0.562000000000000055067 1.68700000000000005507 
300000 2.70500000000000007105 2.75000000000000000000 2.62400000000000011013 0.952999999999999958256 0.876000000000000000888 2.70299999999999984723 
400000 3.78200000000000002842 3.82799999999999984723 3.71899999999999986144 1.48399999999999998579 1.20300000000000006928 3.87500000000000000000 
500000 5.00000000000000000000 5.00000000000000000000 4.92199999999999970868 1.84299999999999997158 1.54699999999999993072 4.95300000000000029132 
600000 6.15599999999999969447 6.13999999999999968026 5.87600000000000033396 2.31199999999999983302 1.87500000000000000000 6.04699999999999970868 
700000 7.39100000000000001421 7.31200000000000027711 7.01499999999999968026 2.73499999999999987566 2.21899999999999986144 7.18799999999999972289 
800000 8.68699999999999938893 8.65700000000000002842 8.37500000000000000000 3.00000000000000000000 2.60899999999999998579 8.65700000000000002842 
900000 9.70299999999999940314 9.79700000000000059686 9.42200000000000059686 3.65600000000000013856 2.90700000000000002842 9.60899999999999998579 
1000000 10.9689999999999994174 10.9679999999999999716 10.8279999999999994031 3.98399999999999998579 3.12500000000000000000 10.8119999999999993889 
2000000 23.8900000000000005684 23.7029999999999994031 23.3909999999999982379 7.84400000000000030553 6.70300000000000029132 22.5470000000000005969 
3000000 38.2969999999999970441 36.8590000000000017621 36.7819999999999964757 12.8439890000000005443 9.84399999999999941735 37.0159999999999982379 
4000000 52.4219470000000029586 52.7029479999999992401 50.1090000000000017621 16.4529840000000007194 13.6570000000000000284 52.4069999999999964757 
5000000 66.4687700000000063483 66.8751599999999939428 61.5940000000000011937 19.9220000000000005969 17.1090000000000017621 62.6103000000000022851 
6000000 79.6243730000000056179 79.6553710000000023683 79.7650849999999991269 24.8279059999999986985 20.8752829999999995891 77.1574430000000006658 
7000000 96.8909929999999945949 95.3592390000000023065 91.9522160000000070568 28.1561020000000006291 23.9841329999999999245 94.1563660000000055561 
8000000 109.780959999999993215 110.640459000000006995 107.375414000000006354 32.0160699999999991405 28.1091030000000010602 109.546691999999993072 
9000000 125.734185999999994010 123.093376000000006343 123.047365999999996689 39.0001579999999989923 31.3278749999999988063 121.468654000000000792 
10000000 140.422770000000014079 140.297315999999995029 139.187421999999997979 42.5630370000000013420 36.0306399999999982242 140.501093999999994821 
