Module;Function;Mehtod;Domain;Input;Average;StandDev;Min;Max;Median;Range
map;list_comprehension;sysfs;energy-pkg;10000;0.0043;0.0014;0.0018;0.0065;0.0045;0.0047
map;list_comprehension;sysfs;energy-pkg;50000;0.014;0.0076;0.0104;0.0355;0.0116;0.0251
map;list_comprehension;sysfs;energy-pkg;100000;0.0223;0.0054;0.0125;0.0295;0.0238;0.017
map;list_comprehension;sysfs;energy-pkg;500000;0.1957;0.0181;0.1788;0.2313;0.1899;0.0525
map;list_comprehension;sysfs;energy-pkg;1000000;0.3741;0.0591;0.2952;0.4741;0.3588;0.1789
map;list_comprehension;sysfs;energy-pkg;2000000;0.8632;0.0805;0.7634;0.9937;0.8716;0.2303
map;list_comprehension;sysfs;energy-pkg;3000000;1.7212;0.1213;1.5956;2.0368;1.6898;0.4412
map;list_comprehension;sysfs;energy-pkg;4000000;1.6509;0.4071;1.2226;2.5186;1.5376;1.296
map;list_comprehension;sysfs;energy-pkg;5000000;2.5788;0.5923;1.9783;3.6679;2.5998;1.6896
map;list_comprehension;sysfs;energy-pkg;6000000;3.11;0.5829;2.4177;4.2678;2.9929;1.8501
map;list_comprehension;sysfs;energy-pkg;7000000;3.3213;0.8488;2.6938;5.3567;3.0131;2.6629
map;list_comprehension;sysfs;energy-pkg;8000000;3.556;1.278;2.5339;6.9041;3.1587;4.3702
map;list_comprehension;sysfs;energy-pkg;9000000;5.6719;0.331;5.3713;6.5426;5.5929;1.1713
map;list_comprehension;sysfs;energy-pkg;10000000;4.5638;1.3669;3.2731;8.186;4.0802;4.9129
map;list_comprehension;time;time;10000;0.0005;0.0001;0.0004;0.0007;0.0004;0.0003
map;list_comprehension;time;time;50000;0.0037;0.0002;0.0036;0.0042;0.0037;0.0006
map;list_comprehension;time;time;100000;0.0069;0.0024;0.0044;0.0095;0.0069;0.0051
map;list_comprehension;time;time;500000;0.0323;0.0004;0.0319;0.0333;0.0322;0.0014
map;list_comprehension;time;time;1000000;0.0514;0.0084;0.0407;0.066;0.0503;0.0253
map;list_comprehension;time;time;2000000;0.1296;0.0091;0.1175;0.1428;0.1311;0.0253
map;list_comprehension;time;time;3000000;0.2063;0.0064;0.1961;0.2191;0.2049;0.023
map;list_comprehension;time;time;4000000;0.2137;0.0273;0.1819;0.2615;0.2138;0.0796
map;list_comprehension;time;time;5000000;0.3027;0.021;0.2767;0.344;0.3025;0.0673
map;list_comprehension;time;time;6000000;0.3549;0.0216;0.3302;0.4015;0.3535;0.0713
map;list_comprehension;time;time;7000000;0.3784;0.0438;0.346;0.4919;0.3659;0.1459
map;list_comprehension;time;time;8000000;0.3937;0.0868;0.3168;0.6206;0.3717;0.3038
map;list_comprehension;time;time;9000000;0.567;0.0209;0.5366;0.6033;0.5716;0.0667
map;list_comprehension;time;time;10000000;0.5284;0.0819;0.432;0.7125;0.4991;0.2805
map;list_comprehension_fun;sysfs;energy-pkg;10000;0.0159;0.0073;0.0119;0.0364;0.0139;0.0245
map;list_comprehension_fun;sysfs;energy-pkg;50000;0.0749;0.0103;0.0661;0.0978;0.0708;0.0317
map;list_comprehension_fun;sysfs;energy-pkg;100000;0.0711;0.027;0.0475;0.1201;0.0579;0.0726
map;list_comprehension_fun;sysfs;energy-pkg;500000;0.3344;0.0605;0.2576;0.4691;0.3121;0.2115
map;list_comprehension_fun;sysfs;energy-pkg;1000000;0.8608;0.207;0.5728;1.2015;0.7754;0.6287
map;list_comprehension_fun;sysfs;energy-pkg;2000000;2.4962;0.4012;1.5691;2.8901;2.6175;1.321
map;list_comprehension_fun;sysfs;energy-pkg;3000000;3.7948;1.1027;1.9131;4.977;4.1117;3.0639
map;list_comprehension_fun;sysfs;energy-pkg;4000000;4.7969;0.9128;3.5724;6.4769;4.7133;2.9045
map;list_comprehension_fun;sysfs;energy-pkg;5000000;6.5554;0.9365;5.2712;7.8115;6.478;2.5403
map;list_comprehension_fun;sysfs;energy-pkg;6000000;7.9942;2.2583;3.791;10.7495;8.3753;6.9585
map;list_comprehension_fun;sysfs;energy-pkg;7000000;9.6101;1.3187;7.9396;11.145;9.8878;3.2054
map;list_comprehension_fun;sysfs;energy-pkg;8000000;10.7167;2.7426;6.506;13.6116;11.2239;7.1056
map;list_comprehension_fun;sysfs;energy-pkg;9000000;12.8662;3.5056;6.1499;17.5384;13.6039;11.3885
map;list_comprehension_fun;sysfs;energy-pkg;10000000;12.4527;2.3888;7.1926;15.1343;12.7491;7.9417
map;list_comprehension_fun;time;time;10000;0.0047;0.0;0.0046;0.0048;0.0047;0.0002
map;list_comprehension_fun;time;time;50000;0.0129;0.0003;0.0123;0.0135;0.0129;0.0012
map;list_comprehension_fun;time;time;100000;0.0201;0.003;0.0162;0.0242;0.0202;0.008
map;list_comprehension_fun;time;time;500000;0.0611;0.0091;0.0517;0.0778;0.0594;0.0261
map;list_comprehension_fun;time;time;1000000;0.1212;0.0281;0.0895;0.1758;0.115;0.0863
map;list_comprehension_fun;time;time;2000000;0.2639;0.0272;0.2151;0.2995;0.2634;0.0844
map;list_comprehension_fun;time;time;3000000;0.3732;0.0746;0.2457;0.4686;0.3945;0.2229
map;list_comprehension_fun;time;time;4000000;0.463;0.0492;0.4026;0.5531;0.4506;0.1505
map;list_comprehension_fun;time;time;5000000;0.6122;0.0552;0.5451;0.695;0.6037;0.1499
map;list_comprehension_fun;time;time;6000000;0.7332;0.1528;0.4563;0.9308;0.7444;0.4745
map;list_comprehension_fun;time;time;7000000;0.8616;0.0894;0.718;0.989;0.8693;0.271
map;list_comprehension_fun;time;time;8000000;0.9623;0.179;0.6915;1.1549;0.9864;0.4634
map;list_comprehension_fun;time;time;9000000;1.1654;0.235;0.6873;1.445;1.2231;0.7577
map;list_comprehension_fun;time;time;10000000;1.1652;0.1613;0.8174;1.3592;1.1617;0.5418
map;list_comprehension_named;sysfs;energy-pkg;10000;0.0067;0.0015;0.0051;0.0101;0.0063;0.005
map;list_comprehension_named;sysfs;energy-pkg;50000;0.017;0.0025;0.0143;0.0225;0.0163;0.0082
map;list_comprehension_named;sysfs;energy-pkg;100000;0.0394;0.018;0.0223;0.0714;0.0333;0.0491
map;list_comprehension_named;sysfs;energy-pkg;500000;0.2181;0.0498;0.1214;0.2913;0.2284;0.1699
map;list_comprehension_named;sysfs;energy-pkg;1000000;0.5084;0.1251;0.281;0.6739;0.5049;0.3929
map;list_comprehension_named;sysfs;energy-pkg;2000000;1.2127;0.2245;0.9315;1.576;1.1839;0.6445
map;list_comprehension_named;sysfs;energy-pkg;3000000;2.0295;0.5609;1.0546;2.7822;2.2761;1.7276
map;list_comprehension_named;sysfs;energy-pkg;4000000;2.3679;0.3546;2.0016;3.056;2.2221;1.0544
map;list_comprehension_named;sysfs;energy-pkg;5000000;3.415;0.4372;2.9321;4.042;3.3992;1.1099
map;list_comprehension_named;sysfs;energy-pkg;6000000;4.2286;0.551;3.6639;5.0007;4.2042;1.3368
map;list_comprehension_named;sysfs;energy-pkg;7000000;4.4112;0.3995;3.96;5.09;4.3953;1.13
map;list_comprehension_named;sysfs;energy-pkg;8000000;5.4149;0.944;4.2032;6.992;5.143;2.7888
map;list_comprehension_named;sysfs;energy-pkg;9000000;7.363;0.3197;6.4852;7.6681;7.4247;1.1829
map;list_comprehension_named;sysfs;energy-pkg;10000000;6.4682;1.0057;5.1773;8.6531;6.1564;3.4758
map;list_comprehension_named;time;time;10000;0.0011;0.0001;0.001;0.0014;0.001;0.0004
map;list_comprehension_named;time;time;50000;0.006;0.0002;0.0058;0.0063;0.006;0.0005
map;list_comprehension_named;time;time;100000;0.0087;0.0017;0.007;0.0124;0.0084;0.0054
map;list_comprehension_named;time;time;500000;0.0394;0.0084;0.0204;0.0471;0.043;0.0267
map;list_comprehension_named;time;time;1000000;0.0704;0.0156;0.0376;0.0882;0.0737;0.0506
map;list_comprehension_named;time;time;2000000;0.159;0.0189;0.1163;0.1792;0.1623;0.0629
map;list_comprehension_named;time;time;3000000;0.2142;0.0689;0.094;0.2739;0.2558;0.1799
map;list_comprehension_named;time;time;4000000;0.2769;0.0332;0.1998;0.3132;0.2775;0.1134
map;list_comprehension_named;time;time;5000000;0.3904;0.0167;0.3702;0.4242;0.3912;0.054
map;list_comprehension_named;time;time;6000000;0.4603;0.0242;0.4348;0.5028;0.458;0.068
map;list_comprehension_named;time;time;7000000;0.4994;0.0208;0.479;0.536;0.4946;0.057
map;list_comprehension_named;time;time;8000000;0.5402;0.0629;0.4635;0.6883;0.5271;0.2248
map;list_comprehension_named;time;time;9000000;0.7266;0.0188;0.6829;0.7588;0.7277;0.0759
map;list_comprehension_named;time;time;10000000;0.6946;0.0639;0.6396;0.8582;0.6721;0.2186
map;map_fun;sysfs;energy-pkg;10000;0.0069;0.0031;0.0045;0.0151;0.0062;0.0106
map;map_fun;sysfs;energy-pkg;50000;0.0188;0.0055;0.0146;0.0311;0.0158;0.0165
map;map_fun;sysfs;energy-pkg;100000;0.0306;0.0067;0.0198;0.0386;0.0309;0.0188
map;map_fun;sysfs;energy-pkg;500000;0.22;0.0174;0.2043;0.2515;0.2149;0.0472
map;map_fun;sysfs;energy-pkg;1000000;0.4939;0.0908;0.402;0.6384;0.4832;0.2364
map;map_fun;sysfs;energy-pkg;2000000;1.1013;0.1237;0.9377;1.3185;1.0575;0.3808
map;map_fun;sysfs;energy-pkg;3000000;2.0817;0.1094;1.9995;2.371;2.0495;0.3715
map;map_fun;sysfs;energy-pkg;4000000;2.1351;0.3525;1.7157;2.6852;2.0708;0.9695
map;map_fun;sysfs;energy-pkg;5000000;3.1996;0.5044;2.6613;4.0788;3.3145;1.4175
map;map_fun;sysfs;energy-pkg;6000000;3.849;0.5909;3.1863;4.9396;3.9051;1.7533
map;map_fun;sysfs;energy-pkg;7000000;4.3031;0.9939;3.499;6.5422;3.891;3.0432
map;map_fun;sysfs;energy-pkg;8000000;4.702;1.2674;3.5481;7.6701;4.2504;4.122
map;map_fun;sysfs;energy-pkg;9000000;6.8266;0.2226;6.6543;7.4469;6.7734;0.7926
map;map_fun;sysfs;energy-pkg;10000000;6.011;1.2331;4.5247;8.8902;6.0615;4.3655
map;map_fun;time;time;10000;0.0008;0.0001;0.0007;0.0011;0.0008;0.0004
map;map_fun;time;time;50000;0.0055;0.0002;0.0052;0.0057;0.0056;0.0005
map;map_fun;time;time;100000;0.0065;0.0012;0.0041;0.0076;0.0068;0.0035
map;map_fun;time;time;500000;0.0396;0.002;0.0371;0.0426;0.0389;0.0055
map;map_fun;time;time;1000000;0.0614;0.0085;0.0519;0.0734;0.0608;0.0215
map;map_fun;time;time;2000000;0.1543;0.0084;0.1393;0.1658;0.1549;0.0265
map;map_fun;time;time;3000000;0.2371;0.0044;0.2312;0.2458;0.2358;0.0146
map;map_fun;time;time;4000000;0.2537;0.023;0.2231;0.2845;0.2584;0.0614
map;map_fun;time;time;5000000;0.3491;0.0192;0.3276;0.3882;0.3502;0.0606
map;map_fun;time;time;6000000;0.414;0.023;0.3891;0.4629;0.413;0.0738
map;map_fun;time;time;7000000;0.4601;0.046;0.4246;0.5748;0.4435;0.1502
map;map_fun;time;time;8000000;0.4807;0.0785;0.4081;0.6771;0.4536;0.269
map;map_fun;time;time;9000000;0.6532;0.0056;0.6469;0.6661;0.6534;0.0192
map;map_fun;time;time;10000000;0.6304;0.0721;0.5476;0.8059;0.6278;0.2583
map;map_named;sysfs;energy-pkg;10000;0.0072;0.0022;0.0043;0.012;0.007;0.0077
map;map_named;sysfs;energy-pkg;50000;0.0172;0.0034;0.0135;0.0246;0.0158;0.0111
map;map_named;sysfs;energy-pkg;100000;0.0319;0.0169;0.0172;0.0697;0.028;0.0525
map;map_named;sysfs;energy-pkg;500000;0.228;0.0327;0.1845;0.2714;0.2152;0.0869
map;map_named;sysfs;energy-pkg;1000000;0.5185;0.0886;0.4311;0.7205;0.5033;0.2894
map;map_named;sysfs;energy-pkg;2000000;1.1285;0.3849;0.5098;2.0306;1.1163;1.5208
map;map_named;sysfs;energy-pkg;3000000;1.9068;0.5143;0.8282;2.5761;2.0351;1.7479
map;map_named;sysfs;energy-pkg;4000000;2.2143;0.8124;1.2305;3.8694;2.0034;2.6389
map;map_named;sysfs;energy-pkg;5000000;3.2291;1.0983;1.4451;5.3559;3.2074;3.9108
map;map_named;sysfs;energy-pkg;6000000;3.9185;1.2847;1.764;6.3462;4.0836;4.5822
map;map_named;sysfs;energy-pkg;7000000;4.6038;1.6288;2.2078;8.0831;4.4083;5.8753
map;map_named;sysfs;energy-pkg;8000000;4.9875;1.4395;3.5924;8.1305;4.6948;4.5381
map;map_named;sysfs;energy-pkg;9000000;6.7104;1.6428;4.313;10.1325;6.9021;5.8195
map;map_named;sysfs;energy-pkg;10000000;6.1611;2.032;3.1406;10.0346;5.9809;6.894
map;map_named;time;time;10000;0.0008;0.0001;0.0008;0.0011;0.0008;0.0003
map;map_named;time;time;50000;0.0056;0.0002;0.0052;0.0058;0.0056;0.0006
