N list-chunks-1/send list-chunks/send list/send list/send-elements list-chunks-5/send 
10000 2.89000000000000012434 0.483999999999999985789 0.593999999999999972466 2.71899999999999986144 0.907000000000000028422 
50000 14.2810000000000005826 2.57799999999999984723 2.57799999999999984723 12.7660000000000000142 4.90599999999999969447 
100000 28.1090000000000017621 6.65599999999999969447 5.54699999999999970868 25.9540000000000006253 10.0000000000000000000 
200000 56.1719999999999970441 12.0160000000000000142 10.7029999999999994031 54.9050000000000011369 20.2659999999999982379 
300000 84.3910000000000053433 25.4070000000000000284 16.1090000000000017621 80.5000000000000000000 29.6879999999999988347 
400000 111.483508999999997968 20.7029999999999994031 20.6709999999999993747 107.061999999999997613 39.5780000000000029559 
500000 146.250378000000011980 28.3120000000000011653 24.8279999999999994031 135.265999999999991132 50.0630000000000023874 
600000 175.952616000000006125 36.2650000000000005684 30.6870000000000011653 162.640999999999991132 60.1090000000000017621 
700000 205.437394000000011829 25.4840000000000017621 35.9219300000000032469 200.531208999999989828 70.6253179999999929350 
800000 226.297659000000010110 47.6099999999999994316 40.6718369999999964648 220.625064000000008946 78.6559249999999963165 
900000 271.031597999999974036 43.3130000000000023874 43.7030779999999978713 247.889758000000000493 88.6718680000000034624 
1000000 284.624440999999990254 69.5469999999999970441 49.6246489999999980114 278.422026000000016666 99.4998719999999963193 
