N map/send dictionary/send list/send 
10000 0.484999999999999986677 0.436999999999999999556 0.593999999999999972466 
50000 2.25000000000000000000 2.68800000000000016698 2.57799999999999984723 
100000 4.71900000000000030553 5.32800000000000029132 5.54699999999999970868 
200000 9.18800000000000061107 12.8750000000000000000 10.7029999999999994031 
300000 13.2029999999999994031 22.5320000000000000284 16.1090000000000017621 
400000 17.1090000000000017621 35.1409999999999982379 20.6709999999999993747 
500000 21.1250000000000000000 46.0319999999999964757 24.8279999999999994031 
600000 25.5000000000000000000 26.2188690000000015345 30.6870000000000011653 
700000 56.7034329999999968663 53.2954509999999999081 35.9219300000000032469 
800000 34.6876930000000029963 55.4852679999999978122 40.6718369999999964648 
900000 39.5937229999999971142 88.3441629999999946676 43.7030779999999978713 
1000000 44.3750789999999994961 103.311954000000000065 49.6246489999999980114 
