N map-find/find-pattern-match list-find/get-value list-find/keyfind map-find/find 
100 0.203000000000000013767 0E-20 0E-20 0.359999999999999986677 
500 0.203000000000000013767 0E-20 0E-20 0.344999999999999973355 
1000 0.266000000000000014211 0E-20 0E-20 0.311999999999999999556 
5000 0.234999999999999986677 0.0459999999999999992228 0E-20 0.281000000000000027534 
10000 0.266000000000000014211 0.0630000000000000004441 0.0160000000000000003331 0.313000000000000000444 
20000 0.281000000000000027534 0.125000000000000000000 0.0309999999999999997780 0.436999999999999999556 
30000 0.266000000000000014211 0.186999999999999999556 0.0619999999999999995559 0.406999999999999972911 
40000 0.266000000000000014211 0.250000000000000000000 0.0630000000000000004441 0.391000000000000014211 
50000 0.406000000000000027534 0.313000000000000000444 0.0940000000000000002220 0.562999999999999944933 
60000 0.328000000000000013767 0.391000000000000014211 0.110000000000000000555 0.468999999999999972466 
70000 0.296999999999999986233 0.453000000000000013767 0.125000000000000000000 0.406999999999999972911 
80000 0.266000000000000014211 0.516000000000000014211 0.140999999999999986455 0.390000000000000013323 
90000 0.329000000000000014655 0.577999999999999958256 0.155999999999999999778 0.468999999999999972466 
100000 0.329000000000000014655 0.656000000000000027534 0.186999999999999999556 0.468000000000000027089 
200000 0.281000000000000027534 1.32800000000000006928 0.343999999999999972466 0.390000000000000013323 
300000 0.281000000000000027534 2.01600000000000001421 0.625000000000000000000 0.406999999999999972911 
400000 0.281000000000000027534 2.71899999999999986144 0.891000000000000014211 0.421999999999999986233 
500000 0.281000000000000027534 3.39100000000000001421 1.18700000000000005507 0.391000000000000014211 
600000 0.281999999999999972911 4.06299999999999972289 1.34400000000000008349 0.438000000000000000444 
700000 0.359999999999999986677 4.71900000000000030553 1.56299999999999994493 0.500000000000000000000 
800000 0.281000000000000027534 5.40599999999999969447 1.87500000000000000000 0.406999999999999972911 
900000 0.343999999999999972466 6.09400000000000030553 2.07799999999999984723 0.484999999999999986677 
1000000 0.359999999999999986677 6.75000000000000000000 2.31199999999999983302 0.484999999999999986677 
2000000 0.281999999999999972911 13.3750000000000000000 4.64100000000000001421 0.436999999999999999556 
3000000 0.343000000000000027089 20.0150000000000005684 6.82800000000000029132 0.531000000000000027534 
4000000 0.375000000000000000000 26.6570000000000000284 9.14000000000000056843 0.843999999999999972466 
5000000 0.313000000000000000444 33.2969999999999970441 10.7029999999999994031 0.532000000000000028422 
6000000 0.375000000000000000000 39.8119999999999976126 12.6560000000000005826 0.891000000000000014211 
7000000 0.375000000000000000000 46.4059999999999988063 15.9679999999999999716 0.453000000000000013767 
8000000 0.390000000000000013323 53.6560970000000025948 17.7340260000000000673 0.453000000000000013767 
9000000 0.375000000000000000000 59.6091490000000021610 19.1720289999999984332 0.468999999999999972466 
10000000 0.296999999999999986233 66.5304110000000008540 23.2657910000000001105 0.375000000000000000000 
