N list-delete/recursive list-delete/keytake map-delete/remove 
100 0.0 0.0 7584924.4646000005 
500 0.0 0.0 3073316.09241 
1000 0.0 0.0 4987505.60491 
5000 0.0 0.0 3802536.39482 
10000 23492.86164 126230.77763999999 5353233.180174001 
20000 133269.2135 176154.00720000002 5641959.520260001 
30000 103165.3125 822022.27074 36310533.4944 
40000 2364297.5062499996 1821220.873164 29942151.670404002 
50000 2575047.3954 2476779.7075199992 58849854.16360003 
60000 2971123.0920899995 2676840.50294 53019495.25613998 
70000 4720088.9197 3151544.3664320004 35119805.43140001 
80000 6557835.09375 5887886.055 29956957.399999987 
90000 6388783.933200001 8901684.754999999 60492612.342499994 
100000 7512677.66821 2480237.6902800007 63622733.17749203 
200000 0.0 0.0 50778654.25250001 
300000 583892.1575 47098902.346446015 55833945.69003 
400000 11580637.05594 116051248.12125 52678256.83889999 
500000 1241300.91324 57034878.163459994 45285925.0657 
600000 22984823.409948003 33153586.319314998 53807250.675160006 
700000 44101864.22714001 75331492.750625 1041056.1815200001 
800000 360530272.12637603 1689913.332915 642395.575 
900000 74064219.73824997 8219133.680625001 1297481.6971200001 
1000000 86813726.21425 10373208.292864 427853.56249999994 
2000000 340640292.509204 221125935.77116004 2530020.2874999996 
3000000 844274489.955483 721587937.7568752 20760374.69988 
4000000 5775240542.302562 5431982753.085165 16341092.462839996 
5000000 8190693252.138165 9061674425.082323 39308903.675916 
6000000 9397290922.894548 9522801476.602654 27920386.643488 
7000000 15249771369.72985 18423042476.66046 28370576.664517995 
8000000 15965636164.38497 17721188424.934685 66162402.623275995 
9000000 17142286237.314362 16721303147.11826 65798373.13467801 
10000000 27717582476.70648 32538895382.57213 56693783.051939994 
