N map-delete/remove map-delete/take dict-delete/take map-delete/without 
100 1.20399999999999995914 1.65599999999999991651 0E-20 1.32800000000000006928 
500 0.687000000000000055067 0.718999999999999972466 0E-20 1.00000000000000000000 
1000 0.858999999999999985789 0.875000000000000000000 0E-20 1.20300000000000006928 
5000 0.782000000000000028422 0.812999999999999944933 0E-20 1.09299999999999997158 
10000 0.968999999999999972466 0.952999999999999958256 0E-20 1.23500000000000009770 
20000 0.953999999999999959144 2.35999999999999987566 0E-20 2.92200000000000015277 
30000 2.64000000000000012434 2.81300000000000016698 0E-20 3.03100000000000013856 
40000 2.39100000000000001421 2.54700000000000015277 0E-20 2.75000000000000000000 
50000 3.39100000000000001421 3.50000000000000000000 0E-20 3.78100000000000013856 
60000 3.18900000000000005684 3.29700000000000015277 0E-20 3.59399999999999986144 
70000 2.39000000000000012434 2.56300000000000016698 0E-20 2.75000000000000000000 
80000 2.50000000000000000000 2.64000000000000012434 0E-20 3.07900000000000018119 
90000 3.25000000000000000000 3.42200000000000015277 0E-20 3.68800000000000016698 
100000 3.42200000000000015277 3.53100000000000013856 0E-20 3.79599999999999981881 
200000 3.18699999999999983302 3.28100000000000013856 0.0160000000000000003331 3.59399999999999986144 
300000 3.21899999999999986144 3.28100000000000013856 0E-20 3.56300000000000016698 
400000 3.23399999999999998579 3.31300000000000016698 0.0149999999999999994449 3.64100000000000001421 
500000 3.04700000000000015277 3.12500000000000000000 0.0160000000000000003331 3.42200000000000015277 
600000 3.14000000000000012434 3.17200000000000015277 0.0309999999999999997780 3.43800000000000016698 
700000 3.26600000000000001421 3.35899999999999998579 0.0470000000000000001110 3.57799999999999984723 
800000 3.12500000000000000000 3.21799999999999997158 0.0470000000000000001110 3.50000000000000000000 
900000 3.18800000000000016698 3.18800000000000016698 0.0470000000000000001110 3.48399999999999998579 
1000000 3.12500000000000000000 3.20299999999999984723 0.0470000000000000001110 3.45299999999999984723 
