N map-delete/remove map-delete/take dict-delete/take map-delete/without 
100 6299771.15 8073822.714000002 0 8270809.68 
500 4473531.43 5118030.076 0.0 5874473.68 
1000 5806176.49 5033166.069999999 0.0 8134843.9 
5000 4862578.51 6310573.59 0.0 7170302.949999998 
10000 5524492.446 6164125.316 0 7308658.969999999 
20000 5914003.69 12409976.22 0 14733349.999999996 
30000 13753989.959999999 13668119.780000001 0 16336757.620000001 
40000 12522857.243999999 14480088.401000002 0 14977812.105 
50000 17354719.60000001 15342256.789999997 0.0 21229232.479999997 
60000 16625743.259999994 17450697.200000007 0 18447460.84 
70000 14694479.260000002 13059031.599999998 0.0 15093399.62 
80000 11982782.959999997 13582309.210000003 0.0 28031697.626 
90000 18613111.490000002 20735725.68 0 17047680.34 
100000 18592265.686000008 24153566.930000003 0 17167847.690000005 
200000 15933057.500000004 18441451.050000004 0.0 17961247.58 
300000 17345121.37 16540137.785 0.0 22153156.315000005 
400000 16288885.849999998 19436368.11 0 19540039.945 
500000 14862463.1 17363412.869999997 0.0 16898781.297 
600000 17136067.094 23196111.562 0.0 17018779.669999994 
700000 318755.72000000003 0.0 0.0 182396.25 
800000 205566.58399999997 0 0 0.0 
900000 406989.24 0 0 123492.42 
1000000 136913.13999999998 0 0.0 0.0 
