N build/map-from-list build/dict-from-list build/map-put build/dict-store build/map-pattern build/list-recursive 
100 0.0001255000 0.0003505000 0.0001703750 0.0003300000 0.0001705000 0.0000232500 
500 0.0005392500 0.0022465000 0.0006782500 0.0019778750 0.0005115000 0.0000785000 
1000 0.0010553750 0.0039532500 0.0012008750 0.0036090000 0.0010366250 0.0002796250 
5000 0.0076501250 0.0092096250 0.0089280000 0.0086493750 0.0103912500 0.0007545000 
10000 0.0073990000 0.0143583750 0.0249655000 0.0146083750 0.0289536250 0.0027341250 
50000 0.0213573750 0.0860735000 0.0569840000 0.1073522500 0.0620982500 0.0075698750 
100000 0.0398578750 0.2577877500 0.0665947500 0.3405055000 0.0664486250 0.0093421250 
500000 0.1989665000 4.0893985000 0.4507253750 8.8404060000 0.4443990000 0.0278993750 
1000000 0.4088170000 22.4859305000 1.0308886250 46.1677445000 1.0240925000 0.0755277500 
5000000 2.2313215000 nan 6.0697930000 nan 6.3259316250 0.4580756250 
10000000 4.5721560000 nan 13.7053952500 nan 14.9436021250 0.7063165000 
