N farm-4/named-function farm-2/named-function farm-16/named-function farm-32/named-function farm-8/named-function 
100000 7529074.5 5328195.58 13457811.99 17133285.080000002 6704170.6899999995 
200000 13268718.849999998 11078680.290000001 23573455.479999997 25235709.229999997 14559497.450000003 
300000 18645859.048 17249814.470000003 31013972.57 38330921.980000004 18838722.940000005 
400000 18304790.470000003 19102184.360999998 33497017.73 44393268.589999996 23331529.188999996 
500000 21556415.54699999 25613939.439 45987478.8 52817883.968 27778669.065999996 
600000 23954953.390999995 28965694.402000003 48620081.95999999 56787194.15999999 31574645.585 
700000 26175027.415999997 37273963.02799999 45813783.67 70027905.72999999 30944428.80399999 
800000 43625499.184 40655266.186000004 58743394.580000006 74003904.41 33227256.544000007 
900000 34108978.598 44565710.79499998 62790933.839999996 85362810.79999998 58823824.30600002 
1000000 35755045.198 51560863.390000015 78826434.44600001 91350842.38000001 62712240.10999998 
