N dict-build/recursive-from-list dict-build/from-list 
100 0.0 0.0 
500 0 0 
1000 0 0 
5000 0.0 176809.97 
10000 1292993.83 670628.09 
20000 1857647.25 979911.3800000001 
30000 4400055.850000001 2362338.185 
40000 7479780.790000001 3359669.63 
50000 8415401.150000002 8245859.1000000015 
60000 9758464.589999998 9543468.78 
70000 14431919.738 11860745.889999999 
80000 7538671.705999998 14844718.01 
90000 6837021.133999999 17525396.244 
100000 nan 25528676.509999998 
200000 1762109.6879999998 41345487.51199999 
300000 689078.2490000001 22848900.374 
400000 386001.21900000004 3946561.7699999996 
500000 594165.5170000001 1671445.1039999998 
600000 2507681.6449999996 2499963.741 
700000 1567981.1649999998 2992640.382 
800000 7808411.717100004 4648999.516599995 
900000 9306478.7226 3096232.062400001 
1000000 nan 5147693.174499998 
