N farm/fib fibonacci/ordparmap-comp fibonacci/parmap-comp fibonacci/ordparmap fibonacci/parmap-hof fibonacci/parmap fibonacci/ordparmap-hof 
500 34.0000000000000000000 40.6880000000000023874 40.3440000000000011937 39.2969999999999970441 40.1880000000000023874 40.6099999999999994316 40.0780000000000029559 
1000 74.6410000000000053433 81.9849940000000003693 80.7969999999999970441 81.2030000000000029559 81.5630000000000023874 81.1089999999999946567 80.8280000000000029559 
1500 120.500000000000000000 122.063233999999994239 122.359718000000000870 123.218598999999997545 122.015659999999996899 122.188203999999998928 122.531745999999998276 
2000 163.375000000000000000 164.406085999999987735 162.639970000000005257 162.531846999999999070 161.828696000000007871 162.561744000000004462 163.547757999999987533 
2500 203.000000000000000000 203.280849999999986721 203.860883999999998650 205.546389000000004899 204.032044000000013284 204.828284999999993943 205.109656000000001086 
