N dict-build/from-list build/list-recursive dict-build/recursive-from-list build/map-pattern map-build/from-list build/map-put 
100 0.0 0 0.0 0.0 0 0.0 
500 0 0.0 0 0.0 0.0 0 
1000 0 0 0 0.0 0 0.0 
5000 176809.97 0.0 0.0 161395.46000000002 0 137667.11000000002 
10000 670628.09 0.0 1292993.83 78845.675 0 147329.55 
20000 979911.3800000001 0.0 1857647.25 0.0 0.0 0 
30000 2362338.185 122000.51999999999 4400055.850000001 0.0 141672.2 0 
40000 3359669.63 0 7479780.790000001 0.0 0.0 0.0 
50000 8245859.1000000015 0 8415401.150000002 0 196667.3 0 
60000 9543468.78 0 9758464.589999998 0 504979.7800000001 0.0 
70000 11860745.889999999 0.0 14431919.738 0 871037.47 0.0 
80000 14844718.01 0.0 7538671.705999998 0 1256547.935 0.0 
90000 17525396.244 0 6837021.133999999 0.0 1121717.196 0 
100000 25528676.509999998 0 nan 0.0 731186.19 0.0 
200000 41345487.51199999 0 1762109.6879999998 0.0 3355738.95 nan 
300000 22848900.374 0 689078.2490000001 126381.21 5163558.149999999 0.0 
400000 3946561.7699999996 0 386001.21900000004 440083.19000000006 5486737.550000001 93057.22 
500000 1671445.1039999998 0 594165.5170000001 2163584.824 8223299.801000001 1297929.7049999996 
600000 2499963.741 305037.31 2507681.6449999996 5224386.601000001 8977357.649999999 2709276.8419999997 
700000 2992640.382 126117.65 1567981.1649999998 7246759.610999999 12224914.780000003 4944290.876 
800000 4648999.516599995 113014.43999999999 7808411.717100004 8547537.296999998 13528692.719999999 5481471.193999999 
900000 3096232.062400001 699053.21 9306478.7226 14079870.475000003 15680634.764999997 10364044.815000001 
1000000 5147693.174499998 321669.63 nan 15489638.683000004 15348141.410000002 13608679.594 
2000000 nan 4997567.56 nan 53094934.030999996 28496417.383999996 49485081.397 
3000000 nan 9631281.73 nan 91086368.45399995 39071680.46 87355685.48200005 
4000000 nan 15738038.588999998 nan 108627860.98099998 51278230.150000006 107879901.55800004 
5000000 nan 22471318.263000004 nan 132930142.47299998 59748896.10999997 129656016.02499995 
6000000 nan 22948973.71999999 nan 152565608.98899996 65877480.21999997 152731334.63600013 
7000000 nan 27937224.840000004 nan 170149919.29 74568675.55000004 168192573.596 
8000000 nan 31527390.380000003 nan 185049825.37600005 84111201.13999996 181109916.54399997 
9000000 nan 42602530.154999994 nan 200202817.11499995 86743985.81400001 197123541.93999997 
10000000 nan 38975354.072 nan 212835068.65000004 100190427.07000002 212295933.4599999 
