N dict-build/from-list build/list-recursive dict-build/recursive-from-list build/map-pattern map-build/from-list build/map-put 
100 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
500 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
1000 0.0160000000000000003331 0E-20 0E-20 0E-20 0E-20 0E-20 
5000 0.0309999999999999997780 0E-20 0.0619999999999999995559 0.0309999999999999997780 0E-20 0.0149999999999999994449 
10000 0.140999999999999986455 0E-20 0.203000000000000013767 0.0470000000000000001110 0E-20 0.0470000000000000001110 
20000 0.391000000000000014211 0E-20 0.484999999999999986677 0.125000000000000000000 0.0470000000000000001110 0.125000000000000000000 
30000 0.781000000000000027534 0.0149999999999999994449 1.01499999999999990230 0.171000000000000013101 0.0779999999999999998890 0.219000000000000000222 
40000 1.09400000000000008349 0.0149999999999999994449 1.51600000000000001421 0.234000000000000013545 0.108999999999999999667 0.250000000000000000000 
50000 1.67199999999999993072 0.0160000000000000003331 2.29700000000000015277 0.343999999999999972466 0.125000000000000000000 0.358999999999999985789 
60000 2.25000000000000000000 0.0630000000000000004441 3.10999999999999987566 0.392000000000000015099 0.171999999999999986233 0.436999999999999999556 
70000 2.85999999999999987566 0.0320000000000000006661 3.82900000000000018119 0.484999999999999986677 0.203999999999999986899 0.515000000000000013323 
80000 3.43800000000000016698 0.0779999999999999998890 4.86000000000000031974 0.593999999999999972466 0.217999999999999999334 0.592999999999999971578 
90000 4.14100000000000001421 0.0619999999999999995559 6.11000000000000031974 0.657000000000000028422 0.265000000000000013323 0.702999999999999958256 
100000 5.32800000000000029132 0.0470000000000000001110 7.48500000000000031974 0.782000000000000028422 0.281000000000000027534 0.766000000000000014211 
200000 17.2650000000000005684 0.140999999999999986455 25.1250000000000000000 1.68700000000000005507 0.562000000000000055067 1.71900000000000008349 
300000 35.0159999999999982379 0.234000000000000013545 56.1880000000000023874 2.70500000000000007105 0.876000000000000000888 2.75000000000000000000 
400000 61.7650000000000005684 0.406000000000000027534 94.6719999999999970441 3.78200000000000002842 1.20300000000000006928 3.82799999999999984723 
500000 91.3589999999999946567 0.265000000000000013323 146.454000000000007731 5.00000000000000000000 1.54699999999999993072 5.00000000000000000000 
600000 120.485309999999998354 0.500000000000000000000 196.173841000000010126 6.15599999999999969447 1.87500000000000000000 6.13999999999999968026 
700000 162.562675000000012915 0.796000000000000040856 262.077486000000021704 7.39100000000000001421 2.21899999999999986144 7.31200000000000027711 
800000 260.874324000000001433 0.718999999999999972466 375.606770999999980631 8.68699999999999938893 2.60899999999999998579 8.65700000000000002842 
900000 276.737153999999975440 1.26499999999999990230 475.845105999999987034 9.70299999999999940314 2.90700000000000002842 9.79700000000000059686 
1000000 330.156243000000017673 0.875000000000000000000 561.140067000000044573 10.9689999999999994174 3.12500000000000000000 10.9679999999999999716 
2000000 nan 1.79699999999999993072 nan 23.8900000000000005684 6.70300000000000029132 23.7029999999999994031 
3000000 nan 2.04700000000000015277 nan 38.2969999999999970441 9.84399999999999941735 36.8590000000000017621 
4000000 nan 3.31299700000000019173 nan 52.4219470000000029586 13.6570000000000000284 52.7029479999999992401 
5000000 nan 4.81200000000000027711 nan 66.4687700000000063483 17.1090000000000017621 66.8751599999999939428 
6000000 nan 4.79696199999999972619 nan 79.6243730000000056179 20.8752829999999995891 79.6553710000000023683 
7000000 nan 5.71901399999999959789 nan 96.8909929999999945949 23.9841329999999999245 95.3592390000000023065 
8000000 nan 7.18698600000000009658 nan 109.780959999999993215 28.1091030000000010602 110.640459000000006995 
9000000 nan 10.2820099999999996498 nan 125.734185999999994010 31.3278749999999988063 123.093376000000006343 
10000000 nan 8.79698499999999938836 nan 140.422770000000014079 36.0306399999999982242 140.297315999999995029 
