N fibonacci/ordparmap fibonacci/parmap-comp fibonacci/ordparmap-comp farm/fib fibonacci/parmap fibonacci/parmap-hof fibonacci/ordparmap-hof 
500 0E-20 0E-20 0E-20 0E-20 0.0160000000000000003331 0E-20 0.0149999999999999994449 
1000 0.0309999999999999997780 0.0320000000000000006661 0.0309999999999999997780 0E-20 0.0160000000000000003331 0.0309999999999999997780 0.0309999999999999997780 
1500 0.0470000000000000001110 0.0309999999999999997780 0.0160000000000000003331 0.0160000000000000003331 0.0470000000000000001110 0.0320000000000000006661 0.0309999999999999997780 
2000 0.0619999999999999995559 0.0309999999999999997780 0.0470000000000000001110 0.0160000000000000003331 0.0470000000000000001110 0.0459999999999999992228 0.0470000000000000001110 
2500 0.0630000000000000004441 0.0630000000000000004441 0.0940000000000000002220 0.0309999999999999997780 0.0630000000000000004441 0.0619999999999999995559 0.0630000000000000004441 
