N filter/filter-fun filter/my-filter-named filter/my-filter-fun filter/recursive filter/list-comprehension 
10000 0E-20 0E-20 0E-20 0E-20 0E-20 
50000 0.0160000000000000003331 0.0160000000000000003331 0.0160000000000000003331 0.0160000000000000003331 0.0149999999999999994449 
100000 0.0470000000000000001110 0.0459999999999999992228 0.0459999999999999992228 0.0149999999999999994449 0.0309999999999999997780 
500000 0.234000000000000013545 0.234999999999999986677 0.234000000000000013545 0.125000000000000000000 0.125000000000000000000 
1000000 0.562000000000000055067 0.593999999999999972466 0.577999999999999958256 0.375000000000000000000 0.359999999999999986677 
2000000 1.25000000000000000000 1.28099999999999991651 1.28200000000000002842 0.859999999999999986677 0.858999999999999985789 
3000000 1.78200000000000002842 1.93799999999999994493 1.79699999999999993072 1.21900000000000008349 1.20300000000000006928 
4000000 2.62500000000000000000 2.84399999999999986144 2.67200000000000015277 1.84400000000000008349 1.86000000000000009770 
5000000 3.23499999999999987566 3.32799999999999984723 3.25000000000000000000 2.21899999999999986144 2.23499999999999987566 
6000000 3.82799999999999984723 3.96799999999999997158 3.85899999999999998579 2.65700000000000002842 2.65600000000000013856 
7000000 4.53099999999999969447 4.68700000000000027711 4.53099999999999969447 3.17099999999999981881 3.17200000000000015277 
8000000 5.29699999999999970868 5.46799999999999997158 5.43700000000000027711 3.78100000000000013856 3.78100000000000013856 
9000000 5.65599999999999969447 5.79699999999999970868 5.65599999999999969447 3.89000000000000012434 3.89100000000000001421 
10000000 6.46900000000000030553 6.65599999999999969447 6.54699999999999970868 4.54600000000000026290 4.56200000000000027711 
