N filter/filter-fun filter/my-filter-named filter/my-filter-fun filter/recursive filter/list-comprehension 
10000 0 0 0.0 0.0 0.0 
50000 0 0 0.0 0 0 
100000 0.0 0.0 0.0 0.0 0 
500000 454710.70999999996 671537.11 0.0 0 0 
1000000 381868.65 570909.39 3758548.4200000004 0 0.0 
2000000 6874506.095000002 912743.9199999999 1344181.25 154963.75 483697.15 
3000000 4823595.6 6075966.635 6381012.286 1704336.875 932746.04 
4000000 7199546.061000003 4924190.75 4641578.255 1922702.225 1349832.665 
5000000 9578629.885000002 8533276.455 8619374.893999998 3716087.13 2579905.047 
6000000 11343294.234 12792104.311 11777101.379999999 6739835.199000001 6626464.016000001 
7000000 17261472.645 16856030.648 18580842.566999998 8315410.9399999995 7220366.92 
8000000 20384920.161000006 21118476.540000003 19755619.365000002 15859723.055999998 10473260.044000002 
9000000 27992857.709999997 27259857.615000002 26696174.753999997 13387198.387 13174431.124999996 
10000000 28311847.536000002 27999020.225 25530652.066000003 16107532.084000003 17571245.604 
