N build/list-from-map list-build/iterated-from-map map-build/from-list build/map-pattern build/map-from-list map-build/recursive-from-list dict-build/recursive-from-list build/map-put map-build/recursive-from-list-put list-build/from-map dict-build/from-list build/list-recursive 
100 0.0 0 0 0.0 0.0 0 0.0 0.0 0.0 0.0 0.0 0 
500 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0.0 0 0.0 
1000 0 0.0 0 0.0 0.0 0 0 0.0 0.0 0 0 0 
5000 155245.48 0.0 0 161395.46000000002 0.0 0 0.0 137667.11000000002 0 0.0 176809.97 0.0 
10000 354049.5 141217.41999999998 0 78845.675 0 0.0 1292993.83 147329.55 0 0.0 670628.09 0.0 
20000 0.0 125403.08 0.0 0.0 125340.91 0 1857647.25 0 0.0 0 979911.3800000001 0.0 
30000 0.0 152365.59 141672.2 0.0 0.0 0 4400055.850000001 0 0.0 0.0 2362338.185 122000.51999999999 
40000 0.0 0.0 0.0 0.0 0.0 0 7479780.790000001 0.0 0 0 3359669.63 0 
50000 0.0 0.0 196667.3 0 158281.99 0.0 8415401.150000002 0 0 0 8245859.1000000015 0 
60000 0 0.0 504979.7800000001 0 556954.1300000001 1637164.9700000002 9758464.589999998 0.0 0 0.0 9543468.78 0 
70000 0 0 871037.47 0 1014982.6849999999 0 14431919.738 0.0 0.0 0 11860745.889999999 0.0 
80000 0.0 0 1256547.935 0 628872.58 958533.7300000001 7538671.705999998 0.0 0.0 0.0 14844718.01 0.0 
90000 0 0.0 1121717.196 0.0 391094.76 3707233.3200000003 6837021.133999999 0 nan 0 17525396.244 0 
100000 0.0 132783.16 731186.19 0.0 532180.7899999999 1525451.16 nan 0.0 0 0 25528676.509999998 0 
200000 0 0.0 3355738.95 0.0 3620790.4800000004 2983805.23 1762109.6879999998 nan 1118443.995 0 41345487.51199999 0 
300000 108531.48999999999 1711926.4300000002 5163558.149999999 126381.21 5672642.27 376257.458 689078.2490000001 0.0 494178.82999999996 0 22848900.374 0 
400000 347443.02999999997 415471.88 5486737.550000001 440083.19000000006 8333212.730000001 10887090.927999998 386001.21900000004 93057.22 596097.32 0 3946561.7699999996 0 
500000 16389200.223000005 1171417.04 8223299.801000001 2163584.824 9993911.155000001 3462663.042999999 594165.5170000001 1297929.7049999996 1872738.3049999997 412308.68000000005 1671445.1039999998 0 
600000 4416279.4969999995 2542948.5000000005 8977357.649999999 5224386.601000001 10888193.979999999 23066743.504999995 2507681.6449999996 2709276.8419999997 6046402.83 648186.9099999999 2499963.741 305037.31 
700000 8174346.403999999 1459755.81 12224914.780000003 7246759.610999999 12387747.639999999 13657529.896000003 1567981.1649999998 4944290.876 11966840.464999998 nan 2992640.382 126117.65 
800000 9058546.277999999 2489112.52 13528692.719999999 8547537.296999998 14888767.794 14967533.383000001 7808411.717100004 5481471.193999999 23524213.095999997 1572921.36 4648999.516599995 113014.43999999999 
900000 9201516.577000003 3261163.26 15680634.764999997 14079870.475000003 17255206.650000002 16349425.125 9306478.7226 10364044.815000001 25888439.301000003 1585984.6600000001 3096232.062400001 699053.21 
1000000 19685200.984 3546245.9200000004 15348141.410000002 15489638.683000004 19756594.46 16989507.408 nan 13608679.594 13968851.045999995 2090009.8799999997 5147693.174499998 321669.63 
2000000 60264516.44200001 10376019.974000001 28496417.383999996 53094934.030999996 33779045.30000001 68877753.47000006 nan 49485081.397 72602240.58999996 3135413.2199999997 nan 4997567.56 
3000000 86769011.20899996 17990604.169999994 39071680.46 91086368.45399995 47315223.27999999 95288332.10399993 nan 87355685.48200005 102163825.74600002 8073009.56 nan 9631281.73 
4000000 126432842.27400005 24960873.59 51278230.150000006 108627860.98099998 57443714.60999999 116356775.25500003 nan 107879901.55800004 120571304.71000004 11499365.44 nan 15738038.588999998 
5000000 139122526.19399986 27170484.22 59748896.10999997 132930142.47299998 64416111.90999999 138469870.93999997 nan 129656016.02499995 130932778.23499998 10271444.699999997 nan 22471318.263000004 
6000000 152994638.55 34182528.64 65877480.21999997 152565608.98899996 74460844.08000001 155907433.16500002 nan 152731334.63600013 150659531.4799998 17946317.555999998 nan 22948973.71999999 
7000000 174164282.02299997 37129790.589999996 74568675.55000004 170149919.29 82776423.00999996 170734393.52999994 nan 168192573.596 172610956.49000013 17103374.896000005 nan 27937224.840000004 
8000000 190807266.61 36110850.44700001 84111201.13999996 185049825.37600005 90821085.56000002 189768838.34999996 nan 181109916.54399997 187427690.64000008 19901623.119999997 nan 31527390.380000003 
9000000 204860270.64999992 48078124.12 86743985.81400001 200202817.11499995 102716489.43000004 199707469.27000007 nan 197123541.93999997 199061321.98000005 12369175.83 nan 42602530.154999994 
10000000 223975655.88000005 47024068.278 100190427.07000002 212835068.65000004 106681578.9 217352410.79899997 nan 212295933.4599999 215239134.10500008 22129262.416 nan 38975354.072 
