N build/list-from-map list-build/iterated-from-map map-build/from-list build/map-pattern build/map-from-list map-build/recursive-from-list dict-build/recursive-from-list build/map-put map-build/recursive-from-list-put list-build/from-map dict-build/from-list build/list-recursive 
100 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
500 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
1000 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0.0160000000000000003331 0E-20 
5000 0.0149999999999999994449 0E-20 0E-20 0.0309999999999999997780 0.0149999999999999994449 0E-20 0.0619999999999999995559 0.0149999999999999994449 0.0160000000000000003331 0E-20 0.0309999999999999997780 0E-20 
10000 0.0619999999999999995559 0E-20 0E-20 0.0470000000000000001110 0.0309999999999999997780 0.0459999999999999992228 0.203000000000000013767 0.0470000000000000001110 0.0459999999999999992228 0E-20 0.140999999999999986455 0E-20 
20000 0.140999999999999986455 0.0160000000000000003331 0.0470000000000000001110 0.125000000000000000000 0.0630000000000000004441 0.108999999999999999667 0.484999999999999986677 0.125000000000000000000 0.108999999999999999667 0E-20 0.391000000000000014211 0E-20 
30000 0.203999999999999986899 0.0309999999999999997780 0.0779999999999999998890 0.171000000000000013101 0.0940000000000000002220 0.172999999999999987121 1.01499999999999990230 0.219000000000000000222 0.186999999999999999556 0E-20 0.781000000000000027534 0.0149999999999999994449 
40000 0.281999999999999972911 0.0320000000000000006661 0.108999999999999999667 0.234000000000000013545 0.125000000000000000000 0.248999999999999999112 1.51600000000000001421 0.250000000000000000000 0.250000000000000000000 0.0160000000000000003331 1.09400000000000008349 0.0149999999999999994449 
50000 0.359999999999999986677 0.0630000000000000004441 0.125000000000000000000 0.343999999999999972466 0.171000000000000013101 0.297999999999999987121 2.29700000000000015277 0.358999999999999985789 0.311999999999999999556 0.0160000000000000003331 1.67199999999999993072 0.0160000000000000003331 
60000 0.436999999999999999556 0.0470000000000000001110 0.171999999999999986233 0.392000000000000015099 0.203000000000000013767 0.373999999999999999112 3.10999999999999987566 0.436999999999999999556 0.391000000000000014211 0.0320000000000000006661 2.25000000000000000000 0.0630000000000000004441 
70000 0.547000000000000041744 0.0779999999999999998890 0.203999999999999986899 0.484999999999999986677 0.219000000000000000222 0.468000000000000027089 3.82900000000000018119 0.515000000000000013323 0.500000000000000000000 0.0320000000000000006661 2.85999999999999987566 0.0320000000000000006661 
80000 0.656000000000000027534 0.0779999999999999998890 0.217999999999999999334 0.593999999999999972466 0.266000000000000014211 0.516000000000000014211 4.86000000000000031974 0.592999999999999971578 0.562000000000000055067 0.0470000000000000001110 3.43800000000000016698 0.0779999999999999998890 
90000 0.734999999999999986677 0.0779999999999999998890 0.265000000000000013323 0.657000000000000028422 0.311999999999999999556 0.608999999999999985789 6.11000000000000031974 0.702999999999999958256 0.641000000000000014211 0.0470000000000000001110 4.14100000000000001421 0.0619999999999999995559 
100000 0.796000000000000040856 0.110000000000000000555 0.281000000000000027534 0.782000000000000028422 0.328000000000000013767 0.718999999999999972466 7.48500000000000031974 0.766000000000000014211 0.672000000000000041744 0.0470000000000000001110 5.32800000000000029132 0.0470000000000000001110 
200000 1.86000000000000009770 0.313000000000000000444 0.562000000000000055067 1.68700000000000005507 0.687000000000000055067 1.71900000000000008349 25.1250000000000000000 1.71900000000000008349 1.68700000000000005507 0.108999999999999999667 17.2650000000000005684 0.140999999999999986455 
300000 2.95299999999999984723 0.328000000000000013767 0.876000000000000000888 2.70500000000000007105 0.952999999999999958256 2.62400000000000011013 56.1880000000000023874 2.75000000000000000000 2.70299999999999984723 0.171999999999999986233 35.0159999999999982379 0.234000000000000013545 
400000 4.12500000000000000000 0.453000000000000013767 1.20300000000000006928 3.78200000000000002842 1.48399999999999998579 3.71899999999999986144 94.6719999999999970441 3.82799999999999984723 3.87500000000000000000 0.234000000000000013545 61.7650000000000005684 0.406000000000000027534 
500000 5.28099999999999969447 0.672000000000000041744 1.54699999999999993072 5.00000000000000000000 1.84299999999999997158 4.92199999999999970868 146.454000000000007731 5.00000000000000000000 4.95300000000000029132 0.234999999999999986677 91.3589999999999946567 0.265000000000000013323 
600000 6.40599999999999969447 0.687000000000000055067 1.87500000000000000000 6.15599999999999969447 2.31199999999999983302 5.87600000000000033396 196.173841000000010126 6.13999999999999968026 6.04699999999999970868 0.234999999999999986677 120.485309999999998354 0.500000000000000000000 
700000 7.71799999999999997158 0.750000000000000000000 2.21899999999999986144 7.39100000000000001421 2.73499999999999987566 7.01499999999999968026 262.077486000000021704 7.31200000000000027711 7.18799999999999972289 0.359999999999999986677 162.562675000000012915 0.796000000000000040856 
800000 8.82799999999999940314 0.984999999999999986677 2.60899999999999998579 8.68699999999999938893 3.00000000000000000000 8.37500000000000000000 375.606770999999980631 8.65700000000000002842 8.65700000000000002842 0.390000000000000013323 260.874324000000001433 0.718999999999999972466 
900000 10.2810000000000005826 1.11000000000000009770 2.90700000000000002842 9.70299999999999940314 3.65600000000000013856 9.42200000000000059686 475.845105999999987034 9.79700000000000059686 9.60899999999999998579 0.483999999999999985789 276.737153999999975440 1.26499999999999990230 
1000000 11.1869999999999993889 1.31299999999999994493 3.12500000000000000000 10.9689999999999994174 3.98399999999999998579 10.8279999999999994031 561.140067000000044573 10.9679999999999999716 10.8119999999999993889 0.562999999999999944933 330.156243000000017673 0.875000000000000000000 
2000000 23.6250000000000000000 2.09399999999999986144 6.70300000000000029132 23.8900000000000005684 7.84400000000000030553 23.3909999999999982379 nan 23.7029999999999994031 22.5470000000000005969 0.875000000000000000000 nan 1.79699999999999993072 
3000000 39.9059600000000003206 3.23499999999999987566 9.84399999999999941735 38.2969999999999970441 12.8439890000000005443 36.7819999999999964757 nan 36.8590000000000017621 37.0159999999999982379 1.68799999999999994493 nan 2.04700000000000015277 
4000000 54.2968979999999987740 4.85899999999999998579 13.6570000000000000284 52.4219470000000029586 16.4529840000000007194 50.1090000000000017621 nan 52.7029479999999992401 52.4069999999999964757 2.26500000000000012434 nan 3.31299700000000019173 
5000000 66.3127640000000013742 5.32800000000000029132 17.1090000000000017621 66.4687700000000063483 19.9220000000000005969 61.5940000000000011937 nan 66.8751599999999939428 62.6103000000000022851 2.09500000000000019540 nan 4.81200000000000027711 
6000000 82.5158729999999991378 7.51600000000000001421 20.8752829999999995891 79.6243730000000056179 24.8279059999999986985 79.7650849999999991269 nan 79.6553710000000023683 77.1574430000000006658 3.10899999999999998579 nan 4.79696199999999972619 
7000000 99.5927719999999965239 8.18699999999999938893 23.9841329999999999245 96.8909929999999945949 28.1561020000000006291 91.9522160000000070568 nan 95.3592390000000023065 94.1563660000000055561 3.23499999999999987566 nan 5.71901399999999959789 
8000000 114.343373999999997181 7.96900000000000030553 28.1091030000000010602 109.780959999999993215 32.0160699999999991405 107.375414000000006354 nan 110.640459000000006995 109.546691999999993072 3.62500000000000000000 nan 7.18698600000000009658 
9000000 129.548371000000003050 11.5779999999999994031 31.3278749999999988063 125.734185999999994010 39.0001579999999989923 123.047365999999996689 nan 123.093376000000006343 121.468654000000000792 2.21799999999999997158 nan 10.2820099999999996498 
10000000 146.063083000000005995 11.1089999999999999858 36.0306399999999982242 140.422770000000014079 42.5630370000000013420 139.187421999999997979 nan 140.297315999999995029 140.501093999999994821 4.42199999999999970868 nan 8.79698499999999938836 
