N map-delete/remove list-delete/keytake list-delete/recursive 
100 7584924.4646000005 0.0 0.0 
500 3073316.09241 0.0 0.0 
1000 4987505.60491 0.0 0.0 
5000 3802536.39482 0.0 0.0 
10000 5353233.180174001 126230.77763999999 23492.86164 
20000 5641959.520260001 176154.00720000002 133269.2135 
30000 36310533.4944 822022.27074 103165.3125 
40000 29942151.670404002 1821220.873164 2364297.5062499996 
50000 58849854.16360003 2476779.7075199992 2575047.3954 
60000 53019495.25613998 2676840.50294 2971123.0920899995 
70000 35119805.43140001 3151544.3664320004 4720088.9197 
80000 29956957.399999987 5887886.055 6557835.09375 
90000 60492612.342499994 8901684.754999999 6388783.933200001 
100000 63622733.17749203 2480237.6902800007 7512677.66821 
200000 50778654.25250001 0.0 0.0 
300000 55833945.69003 47098902.346446015 583892.1575 
400000 52678256.83889999 116051248.12125 11580637.05594 
500000 45285925.0657 57034878.163459994 1241300.91324 
600000 53807250.675160006 33153586.319314998 22984823.409948003 
700000 1041056.1815200001 75331492.750625 44101864.22714001 
800000 642395.575 1689913.332915 360530272.12637603 
900000 1297481.6971200001 8219133.680625001 74064219.73824997 
1000000 427853.56249999994 10373208.292864 86813726.21425 
2000000 2530020.2874999996 221125935.77116004 340640292.509204 
3000000 20760374.69988 721587937.7568752 844274489.955483 
4000000 16341092.462839996 5431982753.085165 5775240542.302562 
5000000 39308903.675916 9061674425.082323 8190693252.138165 
6000000 27920386.643488 9522801476.602654 9397290922.894548 
7000000 28370576.664517995 18423042476.66046 15249771369.72985 
8000000 66162402.623275995 17721188424.934685 15965636164.38497 
9000000 65798373.13467801 16721303147.11826 17142286237.314362 
10000000 56693783.051939994 32538895382.57213 27717582476.70648 
