N list-update-all/recursive list-update-all/map map-update-all/fold-with-iter list-update-all/foldr map-update-all/fold-with-map map-update-all/recursive list-update-all/foldl 
100 0.0 0.0 0.0 0 0.0 0.0 0 
500 0.0 0.0 0.0 0 0.0 0 0 
1000 0.0 0.0 0 0.0 0 0 0 
5000 0 0 0.0 0 0.0 0.0 0.0 
10000 0 0.0 0 0 0.0 0.0 0.0 
20000 0 0 0.0 0.0 0 0.0 0.0 
30000 110770.98000000001 0.0 0.0 0 0.0 0.0 0 
40000 0.0 0 220994.67 0 174838.28999999998 0.0 0.0 
50000 0.0 0.0 303481.07999999996 266503.25999999995 nan 0 0.0 
60000 0 169709.38 0 0.0 0 0.0 0 
70000 0 157884.41999999998 605284.67 0.0 383400.83999999997 0.0 0.0 
80000 0 0.0 170505.56 0 0 0.0 0 
90000 0 0.0 454423.07 0 0 0.0 0.0 
100000 0.0 0.0 363306.25 0.0 0 0.0 0 
200000 0 0 0.0 0 6461861.28 792931.284 0.0 
300000 343984.04 306734.54500000004 274868.54 608823.49 183487.65 116577.88999999998 874405.01 
400000 0.0 1290754.8299999998 2191794.1900000004 887467.99 2099603.6900000004 7964315.68 77221.144 
500000 1488031.3939999999 1047221.0 616362.41 776948.85 1012849.208 945563.6300000001 736666.134 
600000 1207528.4449999998 531170.5599999999 750811.569 970923.04 1539836.6460000002 4188227.0039999997 786362.75 
700000 496599.88 1218160.684 1586220.3360000001 3934741.970000001 1913869.359 4841058.148 540888.9800000001 
800000 3656086.7600000002 2231580.4999999995 4803946.471999999 2314032.1000000006 2189215.24 6982392.1899999995 1378190.3199999998 
900000 1287677.8699999999 1702354.276 3477130.644 3191857.8600000003 3694370.904 12775562.173 1451761.86 
1000000 3565195.65 2760978.95 3165931.5760000004 3822889.7199999997 10263805.182 10771651.785 nan 
2000000 5294732.846 8241217.720000001 9990118.269 11729408.790000003 33983407.425 33838737.25200001 4744507.0540000005 
3000000 13426785.351 11510436.069999998 43189105.845000006 13501570.500000004 34688329.236999996 64829871.29000001 10084844.714000002 
4000000 18057211.7 15275588.929999998 67969159.1 20588137.83 52011995.125000015 78476732.52399999 14081952.856 
5000000 24590204.474 22063814.999999996 72851616.36500002 19254741.169999998 64616874.961 91181609.60000004 19225801.18 
6000000 25426683.020000003 21576940.580000006 80640627.14000003 24492757.389999993 80136488.23499998 103597960.35000001 20716667.740000002 
7000000 26312686.385999996 28200137.656 90186955.33999999 33176562.839999996 92116589.49900009 112600249.28 23587179.310000006 
8000000 27885673.18 28820590.119999997 99407572.52399994 42040349.349999994 108291887.90999997 122015780.59000008 26214263.64 
9000000 31416899.654999994 28459311.959999997 110872774.02600002 29414927.26 109990351.12000003 130224674.96699993 26642475.83 
10000000 38891409.19 36883234.309999995 119117396.84199998 29340758.74 122178074.21 145319060.56499994 28824454.656 
