N list-update-all/recursive list-update-all/map map-update-all/fold-with-iter list-update-all/foldr map-update-all/fold-with-map map-update-all/recursive list-update-all/foldl 
100 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
500 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
1000 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
5000 0E-20 0E-20 0.0160000000000000003331 0E-20 0.0149999999999999994449 0.0149999999999999994449 0E-20 
10000 0E-20 0E-20 0.0309999999999999997780 0E-20 0.0309999999999999997780 0.0320000000000000006661 0E-20 
20000 0E-20 0.0149999999999999994449 0.0779999999999999998890 0E-20 0.0779999999999999998890 0.108999999999999999667 0E-20 
30000 0.0160000000000000003331 0.0160000000000000003331 0.125000000000000000000 0.0160000000000000003331 0.125000000000000000000 0.155999999999999999778 0.0160000000000000003331 
40000 0.0160000000000000003331 0.0149999999999999994449 0.188000000000000000444 0.0160000000000000003331 0.171999999999999986233 0.203999999999999986899 0.0149999999999999994449 
50000 0.0470000000000000001110 0.0320000000000000006661 0.203000000000000013767 0.0309999999999999997780 0.203000000000000013767 0.234999999999999986677 0.0309999999999999997780 
60000 0.0309999999999999997780 0.0320000000000000006661 0.250000000000000000000 0.0160000000000000003331 0.250000000000000000000 0.328000000000000013767 0.0160000000000000003331 
70000 0.0309999999999999997780 0.0470000000000000001110 0.296999999999999986233 0.0309999999999999997780 0.296999999999999986233 0.359999999999999986677 0.0320000000000000006661 
80000 0.0470000000000000001110 0.0470000000000000001110 0.329000000000000014655 0.0470000000000000001110 0.343999999999999972466 0.421999999999999986233 0.0309999999999999997780 
90000 0.0470000000000000001110 0.0630000000000000004441 0.391000000000000014211 0.0779999999999999998890 0.359999999999999986677 0.454000000000000014655 0.0470000000000000001110 
100000 0.0309999999999999997780 0.0630000000000000004441 0.421999999999999986233 0.0630000000000000004441 0.421999999999999986233 0.531000000000000027534 0.0470000000000000001110 
200000 0.108999999999999999667 0.140999999999999986455 0.858999999999999985789 0.155999999999999999778 0.798000000000000042633 1.09400000000000008349 0.125000000000000000000 
300000 0.171000000000000013101 0.250000000000000000000 1.28099999999999991651 0.328000000000000013767 1.28099999999999991651 1.65599999999999991651 0.203000000000000013767 
400000 0.453000000000000013767 0.281000000000000027534 1.73399999999999998579 0.359999999999999986677 1.68700000000000005507 2.28100000000000013856 0.234000000000000013545 
500000 0.438000000000000000444 0.375000000000000000000 2.20299999999999984723 0.375000000000000000000 2.17200000000000015277 2.84399999999999986144 0.311999999999999999556 
600000 0.547000000000000041744 0.547000000000000041744 2.73399999999999998579 0.406000000000000027534 2.62500000000000000000 3.28200000000000002842 0.375000000000000000000 
700000 0.812000000000000055067 0.593999999999999972466 3.10899999999999998579 0.687000000000000055067 3.21899999999999986144 4.00000000000000000000 0.484999999999999986677 
800000 0.765000000000000013323 0.516000000000000014211 3.70299999999999984723 0.577999999999999958256 3.62500000000000000000 4.59400000000000030553 0.516000000000000014211 
900000 0.390000000000000013323 0.672000000000000041744 4.00000000000000000000 0.516000000000000014211 4.03200000000000002842 5.06200000000000027711 0.593999999999999972466 
1000000 0.717999999999999971578 0.656000000000000027534 4.61000000000000031974 0.733999999999999985789 4.50000000000000000000 5.64100000000000001421 0.609999999999999986677 
2000000 2.79700000000000015277 1.56200000000000005507 8.93699999999999938893 1.96900000000000008349 9.35899999999999998579 11.7970000000000005969 1.34400000000000008349 
3000000 2.10999999999999987566 2.20299999999999984723 13.7810000000000005826 2.56199999999999983302 13.7660000000000000142 17.2500000000000000000 1.79600000000000004086 
4000000 3.15600000000000013856 2.87500000000000000000 18.3590000000000017621 4.23500000000000031974 18.3590000000000017621 23.8599999999999994316 2.56199999999999983302 
5000000 4.39100000000000001421 3.81300000000000016698 22.9691970000000011964 3.48499999999999987566 23.0781880000000008124 30.5162639999999996121 3.26600000000000001421 
6000000 5.00000000000000000000 4.06299999999999972289 27.5775889999999996860 5.15700000000000002842 28.3275790000000000646 36.1560220000000001050 3.57799999999999984723 
7000000 5.13999999999999968026 6.04699999999999970868 32.2031190000000009377 6.03099999999999969447 33.2501230000000020937 42.0621579999999966049 4.37500000000000000000 
8000000 5.15599999999999969447 5.79699999999999970868 36.7351370000000017058 9.59299999999999997158 36.8441370000000034679 48.3437100000000015143 5.03099999999999969447 
9000000 6.67199999999999970868 5.98500000000000031974 41.5312389999999993506 6.32800000000000029132 41.6252399999999980196 54.2813159999999967908 5.46900000000000030553 
10000000 8.35899999999999998579 7.21900000000000030553 46.4061620000000019104 6.28099999999999969447 46.6090239999999980114 60.9222340000000031068 5.92199999999999970868 
