N dict-find/find dict-find/fetch map-find/find map-find/find-pattern-match 
100 1.57800000000000006928 1.54699999999999993072 0.359999999999999986677 0.203000000000000013767 
500 1.54699999999999993072 1.37500000000000000000 0.344999999999999973355 0.203000000000000013767 
1000 1.67199999999999993072 1.59400000000000008349 0.311999999999999999556 0.266000000000000014211 
5000 1.31200000000000005507 1.34400000000000008349 0.281000000000000027534 0.234999999999999986677 
10000 1.45300000000000006928 1.53099999999999991651 0.313000000000000000444 0.266000000000000014211 
20000 1.59400000000000008349 1.42199999999999993072 0.436999999999999999556 0.281000000000000027534 
30000 1.39100000000000001421 1.48399999999999998579 0.406999999999999972911 0.266000000000000014211 
40000 1.53099999999999991651 1.26600000000000001421 0.391000000000000014211 0.266000000000000014211 
50000 1.63999999999999990230 1.56299999999999994493 0.562999999999999944933 0.406000000000000027534 
60000 1.37500000000000000000 1.17199999999999993072 0.468999999999999972466 0.328000000000000013767 
70000 1.26600000000000001421 1.14100000000000001421 0.406999999999999972911 0.296999999999999986233 
80000 1.25099999999999988987 1.15599999999999991651 0.390000000000000013323 0.266000000000000014211 
90000 1.37500000000000000000 1.25000000000000000000 0.468999999999999972466 0.329000000000000014655 
100000 1.43799999999999994493 1.31299999999999994493 0.468000000000000027089 0.329000000000000014655 
200000 1.40700000000000002842 1.28099999999999991651 0.390000000000000013323 0.281000000000000027534 
300000 1.40599999999999991651 1.34299999999999997158 0.406999999999999972911 0.281000000000000027534 
400000 1.32800000000000006928 1.23500000000000009770 0.421999999999999986233 0.281000000000000027534 
500000 1.39100000000000001421 1.28099999999999991651 0.391000000000000014211 0.281000000000000027534 
600000 1.26600000000000001421 1.17100000000000004086 0.438000000000000000444 0.281999999999999972911 
700000 1.29699999999999993072 1.18700000000000005507 0.500000000000000000000 0.359999999999999986677 
800000 1.45300000000000006928 1.39100000000000001421 0.406999999999999972911 0.281000000000000027534 
900000 1.48500000000000009770 1.37500000000000000000 0.484999999999999986677 0.343999999999999972466 
1000000 1.21999999999999997335 1.14100000000000001421 0.484999999999999986677 0.359999999999999986677 
