N list/send dictionary/send map/send 
10000 0.593999999999999972466 0.436999999999999999556 0.484999999999999986677 
50000 2.57799999999999984723 2.68800000000000016698 2.25000000000000000000 
100000 5.54699999999999970868 5.32800000000000029132 4.71900000000000030553 
200000 10.7029999999999994031 12.8750000000000000000 9.18800000000000061107 
300000 16.1090000000000017621 22.5320000000000000284 13.2029999999999994031 
400000 20.6709999999999993747 35.1409999999999982379 17.1090000000000017621 
500000 24.8279999999999994031 46.0319999999999964757 21.1250000000000000000 
600000 30.6870000000000011653 26.2188690000000015345 25.5000000000000000000 
700000 35.9219300000000032469 53.2954509999999999081 56.7034329999999968663 
800000 40.6718369999999964648 55.4852679999999978122 34.6876930000000029963 
900000 43.7030779999999978713 88.3441629999999946676 39.5937229999999971142 
1000000 49.6246489999999980114 103.311954000000000065 44.3750789999999994961 
