N list/send dictionary/send map/send 
10000 298693.12 184423.52 572237.6199999999 
50000 0 16561861.958999997 0.0 
100000 2004623.0150000001 1847562.2450000003 87114.44399999999 
200000 4357948.783 11290548.231 3998081.400999999 
300000 7868090.973999998 59727812.59000001 6734206.935 
400000 69289629.41000003 88905664.30499998 8311022.155000001 
500000 73119401.58999994 106392076.06400001 69551869.22500001 
600000 89364179.11499998 81946897.83899997 76150717.438 
700000 105237537.24699998 124737627.52999997 126555007.28999999 
800000 107920364.18399999 133072564.84499995 105850099.77999999 
900000 120201019.76999995 164903834.93400007 110653841.29500005 
1000000 125247582.836 185220544.40999997 117838484.13500004 
