N build/map-from-list build/list-from-map build/map-put build/list-recursive build/map-pattern dict-build/recursive-from-list 
100 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
500 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
1000 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
5000 0.0160000000000000003331 0.0309999999999999997780 0.0160000000000000003331 0E-20 0.0160000000000000003331 0.0619999999999999995559 
10000 0.0309999999999999997780 0.0470000000000000001110 0.0630000000000000004441 0E-20 0.0619999999999999995559 0.186999999999999999556 
20000 0.0779999999999999998890 0.108999999999999999667 0.108999999999999999667 0.0160000000000000003331 0.0940000000000000002220 0.483999999999999985789 
30000 0.0790000000000000007772 0.188000000000000000444 0.203000000000000013767 0.0160000000000000003331 0.125000000000000000000 0.952999999999999958256 
40000 0.108999999999999999667 0.234000000000000013545 0.219000000000000000222 0.0160000000000000003331 0.234000000000000013545 1.48399999999999998579 
50000 0.125000000000000000000 0.311999999999999999556 0.297999999999999987121 0.0160000000000000003331 0.296999999999999986233 2.27999999999999980460 
60000 0.188000000000000000444 0.375000000000000000000 0.358999999999999985789 0.0309999999999999997780 0.343000000000000027089 3.10899999999999998579 
70000 0.217999999999999999334 0.483999999999999985789 0.453000000000000013767 0.0309999999999999997780 0.438000000000000000444 4.03200000000000002842 
80000 0.250000000000000000000 0.547000000000000041744 0.516000000000000014211 0.0619999999999999995559 0.500000000000000000000 4.90599999999999969447 
90000 0.281000000000000027534 0.625000000000000000000 0.593999999999999972466 0.0630000000000000004441 0.562000000000000055067 6.34400000000000030553 
100000 0.311999999999999999556 0.702999999999999958256 0.656000000000000027534 0.0619999999999999995559 0.672000000000000041744 7.86000000000000031974 
200000 0.656000000000000027534 1.75000000000000000000 1.59400000000000008349 0.108999999999999999667 1.56200000000000005507 26.9379999999999988347 
300000 1.01600000000000001421 2.82900000000000018119 2.67200000000000015277 0.203999999999999986899 2.59299999999999997158 56.0150000000000005684 
400000 1.43799999999999994493 3.98399999999999998579 3.68800000000000016698 0.406999999999999972911 3.68900000000000005684 96.8280000000000029559 
500000 1.76600000000000001421 5.14100000000000001421 4.85899999999999998579 0.250000000000000000000 4.84400000000000030553 150.750000000000000000 
600000 2.25000000000000000000 6.43700000000000027711 6.11000000000000031974 0.483999999999999985789 6.01600000000000001421 202.734000000000008868 
700000 2.67200000000000015277 7.59400000000000030553 7.29699999999999970868 0.781000000000000027534 7.34299999999999997158 263.468922000000020489 
800000 2.93800000000000016698 8.84399999999999941735 8.64100000000000001421 0.702999999999999958256 8.73499999999999943157 358.093843999999990046 
900000 3.57799999999999984723 10.2500000000000000000 9.76500000000000056843 1.23399999999999998579 9.71899999999999941735 443.391562000000021726 
1000000 4.26600000000000001421 11.6250000000000000000 11.0000000000000000000 0.984999999999999986677 11.2040000000000006253 545.374816000000009808 
2000000 7.81299999999999972289 24.6879999999999988347 24.3120000000000011653 1.76600000000000001421 24.8900000000000005684 nan 
3000000 12.4849750000000003780 40.5159829999999985262 38.7349999999999994316 1.90599999999999991651 38.4369999999999976126 nan 
4000000 16.9839720000000014011 57.0156440000000017676 55.0309439999999980841 3.26503299999999985204 55.2030590000000032092 nan 
5000000 20.2650800000000010925 68.8590470000000038908 72.4840200000000010050 5.03103999999999995651 71.0001039999999932206 nan 
6000000 24.2970490000000012287 87.1249729999999971142 84.7823309999999992215 3.39096999999999981767 83.7968130000000002156 nan 
7000000 29.0778430000000014388 104.592697000000001140 99.8287959999999969796 5.90599999999999969447 102.828072000000005914 nan 
8000000 33.2190930000000008704 118.249761000000006561 119.218215000000000714 8.57799400000000034083 119.452826000000001727 nan 
9000000 39.2498459999999980141 131.796683000000001584 130.906203000000004977 10.0469799999999995777 130.389841999999987365 nan 
10000000 43.7030310000000028481 151.030925999999993792 146.781565999999997985 8.70303400000000060288 146.639608000000009724 nan 
