N build/map-from-list build/list-from-map build/map-put build/list-recursive build/map-pattern dict-build/recursive-from-list 
100 1190495.9533333334 0 0 0 0 0 
500 0 0 0 0 0 0 
1000 0 0 0 0 0 0 
5000 0 0 0 0 0 0 
10000 0 0 0 0 0 390522.985 
20000 0 0 0 0 0 1385694.192 
30000 125766.45 407333.8 458653.22 0 0 2526262.305 
40000 0 417143.4 0 0 0 2306670.3833333333 
50000 0 0 0 0 0 1231703.2860714286 
60000 430777.1 0 0 0 0 2364782.149523809 
70000 632604.23 0 0 0 0 2181421.374347826 
80000 781885.1 0 0 0 0 1571818.6711999995 
90000 114026.28538461539 0 0 0 0 1363804.8088461536 
100000 1195647.1 0 0 201519.62 0 1814140.998888889 
200000 1801963.5833333333 0 0 0 0 646079.4242857143 
300000 1856288.388888889 0 0 0 428085.92000000004 15348.356666666668 
400000 1874455.8983333332 358995.13333333336 700173.7 0 76024.98341463416 375812.3045454545 
500000 1948525.1266666665 346649.7125 462801.862 0 673889.9825000002 431948.5560526315 
600000 2187235.6588888885 581611.8039999999 607557.0 298500.46 637460.7055 523724.80254545447 
700000 2074294.8685714283 887448.1692307692 617769.5425000001 660822.6 589589.8443333334 528684.04987013 
800000 2346800.8299999996 861583.76075 565426.2428571427 466422.75500000006 821780.5388571428 542166.3341401274 
900000 2231991.6635714285 876576.0168421053 914875.2789361702 19465.315238095238 882890.9653333331 490842.3030256407 
1000000 2190324.3959375 859115.138888889 949747.5208474576 371439.97 835354.0377272728 635974.5853800745 
2000000 2335576.2079365076 2256445.7182065207 1830699.0799999994 1636767.58 1908451.0587845303 nan 
3000000 2463248.2798999995 2037352.458862875 2342855.549290781 1732812.846875 2227390.66684588 nan 
4000000 2754014.8632089556 2443869.2243596073 2335935.7138481005 2183192.9696296295 2413746.010125314 nan 
5000000 2596476.078853504 2530120.9801242235 2579645.600059877 2753125.4097499996 2478057.1383022773 nan 
6000000 2469843.625053763 2506661.3945833337 2677314.770227669 2445927.3421428576 2636312.1335211247 nan 
7000000 2567649.1059090924 2552952.1001440934 2541186.3693768545 2746210.967916667 2499648.7043541376 nan 
8000000 2473999.5490697683 2609296.5573834213 2656059.79754386 2739292.458260869 2643865.5224031024 nan 
9000000 2504730.896655173 2589617.5020381403 2608979.1081990516 2573574.6304938276 2458442.642049471 nan 
10000000 2491898.3590342687 2528299.214661106 2557371.6097450126 2658245.6298571443 2546040.5520652193 nan 
