N filter-map/list-comprehension filter-map/filtermap filter-map/my-filter-map filter-map/recursive filter-map/filter-map-comp 
10000 0 0.0 0 0 0.0 
50000 0 170332.36000000002 0.0 0 292989.6 
100000 0.0 0.0 0.0 0 422528.39 
500000 0 95521.906 737398.62 799256.6599999999 718328.92 
1000000 1575356.84 1438768.3050000002 3796776.3599999994 674018.515 1988218.97 
2000000 1805805.92 3010791.3800000004 6465721.39 0.0 5794677.076 
3000000 3725899.659999999 9028423.149999999 8610738.745000001 3818104.5799999996 9222479.705 
4000000 4874498.57 12583216.330000002 11556439.182 5871111.029999999 13805513.010000002 
5000000 7546123.924000001 18394023.550000004 14855129.690000001 6490009.96 17463433.975 
6000000 7172182.379999998 21373738.47 14920389.306000004 9030246.629999999 20214321.996 
7000000 11716298.4 20140894.180999998 19992458.249999993 10520721.879999999 23948411.485000007 
8000000 11105923.15 26377270.865999997 19556312.03999999 10137737.860000001 27230759.456 
9000000 10739623.374000002 28380384.674000002 23902513.651999995 11501347.34 29471099.59000001 
10000000 12702886.470000003 27227518.98 26456966.067000005 13699767.9 31534473.786000006 
