Module;Function;Mehtod;Domain;Input;Average;StandDev;Min;Max;Median;Range
map;list_comprehension;sysfs;energy-pkg;10000;0.0055;0.0023;0.0034;0.0104;0.0048;0.007
map;list_comprehension;sysfs;energy-pkg;50000;0.0135;0.0042;0.0093;0.0209;0.0117;0.0116
map;list_comprehension;sysfs;energy-pkg;100000;0.0248;0.0046;0.0176;0.0317;0.0253;0.0141
map;list_comprehension;sysfs;energy-pkg;500000;0.1797;0.0095;0.1655;0.1928;0.1807;0.0273
map;list_comprehension;sysfs;energy-pkg;1000000;0.3392;0.0656;0.2505;0.4379;0.3388;0.1874
map;list_comprehension;sysfs;energy-pkg;2000000;0.8279;0.0954;0.6726;1.002;0.826;0.3294
map;list_comprehension;sysfs;energy-pkg;3000000;1.5186;0.1026;1.4106;1.7237;1.4931;0.3131
map;list_comprehension;sysfs;energy-pkg;4000000;1.5081;0.3186;1.1902;2.1693;1.4501;0.9791
map;list_comprehension;sysfs;energy-pkg;5000000;2.1594;0.3059;1.7967;2.8534;2.1528;1.0567
map;list_comprehension;sysfs;energy-pkg;6000000;2.6344;0.4179;2.109;3.2677;2.6822;1.1587
map;list_comprehension;sysfs;energy-pkg;7000000;2.7884;0.493;2.3602;4.0398;2.6813;1.6796
map;list_comprehension;sysfs;energy-pkg;8000000;3.0894;0.8795;2.2092;5.0049;2.7494;2.7957
map;list_comprehension;sysfs;energy-pkg;9000000;4.5093;0.2071;4.367;5.0126;4.425;0.6456
map;list_comprehension;sysfs;energy-pkg;10000000;3.978;0.7815;3.3433;5.9479;3.9231;2.6046
