N map-update-one/update map-update-one/pattern-match map-update-one/update-with map-update-one/overwrite 
100 1.06299999999999994493 0.0470000000000000001110 1.34299999999999997158 0.0470000000000000001110 
500 0.891000000000000014211 0.0470000000000000001110 1.46900000000000008349 0.0619999999999999995559 
1000 1.04600000000000004086 0.0470000000000000001110 1.64100000000000001421 0.0470000000000000001110 
5000 0.983999999999999985789 0.0470000000000000001110 1.68700000000000005507 0.0470000000000000001110 
10000 1.14100000000000001421 0.0630000000000000004441 1.87500000000000000000 0.0470000000000000001110 
20000 1.18799999999999994493 0.0309999999999999997780 3.32799999999999984723 0.0309999999999999997780 
30000 2.79700000000000015277 0.0470000000000000001110 3.79700000000000015277 0.0470000000000000001110 
40000 2.93800000000000016698 0.0470000000000000001110 3.87599999999999988987 0.0630000000000000004441 
50000 3.75000000000000000000 0.0470000000000000001110 5.04699999999999970868 0.0459999999999999992228 
60000 3.56300000000000016698 0.0619999999999999995559 4.81200000000000027711 0.0470000000000000001110 
70000 2.67200000000000015277 0.0470000000000000001110 3.84299999999999997158 0.0470000000000000001110 
80000 2.59399999999999986144 0.0470000000000000001110 3.75000000000000000000 0.0320000000000000006661 
90000 3.42200000000000015277 0.0470000000000000001110 4.79699999999999970868 0.0309999999999999997780 
100000 3.46899999999999986144 0.0470000000000000001110 4.89100000000000001421 0.0619999999999999995559 
200000 3.51500000000000012434 0.0470000000000000001110 4.89100000000000001421 0.0470000000000000001110 
300000 3.46899999999999986144 0.0470000000000000001110 4.87500000000000000000 0.0470000000000000001110 
400000 3.51500000000000012434 0.0630000000000000004441 4.93700000000000027711 0.0470000000000000001110 
500000 3.31199999999999983302 0.0470000000000000001110 4.68799999999999972289 0.0470000000000000001110 
600000 3.32900000000000018119 0.0459999999999999992228 4.70300000000000029132 0.0470000000000000001110 
700000 3.59399999999999986144 0.0470000000000000001110 5.10899999999999998579 0.0470000000000000001110 
800000 3.37500000000000000000 0.0470000000000000001110 4.82899999999999973710 0.0470000000000000001110 
900000 3.46899999999999986144 0.0470000000000000001110 5.01600000000000001421 0.0619999999999999995559 
1000000 3.54599999999999981881 0.0470000000000000001110 5.04600000000000026290 0.0470000000000000001110 
2000000 3.35999999999999987566 0.0470000000000000001110 4.87500000000000000000 0.0309999999999999997780 
3000000 3.73499999999999987566 0.0470000000000000001110 5.20300000000000029132 0.0459999999999999992228 
4000000 4.15599999999999969447 0.0470000000000000001110 5.32800000000000029132 0.0470000000000000001110 
5000000 3.90700000000000002842 0.0470000000000000001110 5.10899999999999998579 0.0470000000000000001110 
6000000 3.92200000000000015277 0.0459999999999999992228 5.36000000000000031974 0.0459999999999999992228 
7000000 4.23399999999999998579 0.0480000000000000009992 5.35899999999999998579 0.0470000000000000001110 
8000000 4.29699999999999970868 0.0470000000000000001110 5.59299999999999997158 0.0470000000000000001110 
9000000 4.07899999999999973710 0.0470000000000000001110 5.32800000000000029132 0.0470000000000000001110 
10000000 4.18799999999999972289 0.0470000000000000001110 5.01600000000000001421 0.0470000000000000001110 
