N farm/eliminate-all farm/worker-fun-expression farm/worker-named-function farm/fun-expression farm/named-function 
100000 6733594.273999999 7431294.57 7696409.015999998 7719312.5200000005 8790619.55 
200000 20161224.970000003 15945743.230000004 21884153.58 21949575.209999997 23006118.21 
300000 15848550.395999994 18063018.865000002 17480237.890000008 17923371.984999996 17397504.39 
400000 26257279.106 23184400.553999998 20212199.25 25592832.92000001 23717493.49899999 
500000 26528775.38200001 nan 31313766.779999994 22779468.091 29665235.310000002 
600000 31589023.015000004 32698666.24199999 30012512.750000007 38494196.403 36811011.11799999 
700000 32272771.34799999 31749284.116000004 33073360.522000004 50069695.26999999 48316310.14000001 
800000 39820908.40000002 39323697.663 40067915.93 38094229.992 31444110.165 
900000 47971315.19199999 42145271.84300001 42685414.521000005 42827606.491000004 41640846.662 
1000000 48310711.23099999 38962996.224000014 45172785.35200001 42998055.26600001 43259684.98200002 
