N filter/my-filter-named filter/filter-named filter/list-comprehension-named filter/list-comprehension-fun filter/filter-fun filter/my-filter-fun filter/list-comprehension filter/recursive 
10000 0 0 0.0 0 0 0.0 0.0 0.0 
50000 0 0 0.0 0 0 0.0 0 0 
100000 0.0 0.0 0 0.0 0.0 0.0 0 0.0 
500000 671537.11 129883.12000000002 553698.0 575089.176 454710.70999999996 0.0 0 0 
1000000 570909.39 465349.81999999995 193399.88799999998 99356.975 381868.65 3758548.4200000004 0.0 0 
2000000 912743.9199999999 2519740.746 414057.56 411340.08999999997 6874506.095000002 1344181.25 483697.15 154963.75 
3000000 6075966.635 5373214.635999999 4308490.35 5411089.3549999995 4823595.6 6381012.286 932746.04 1704336.875 
4000000 4924190.75 10316740.526 2458106.3659999995 3162373.239 7199546.061000003 4641578.255 1349832.665 1922702.225 
5000000 8533276.455 11985253.566000002 7002599.903 8920613.327 9578629.885000002 8619374.893999998 2579905.047 3716087.13 
6000000 12792104.311 14427867.985000003 11991843.033999998 13137893.359 11343294.234 11777101.379999999 6626464.016000001 6739835.199000001 
7000000 16856030.648 19159467.696000002 12584894.022000004 16931516.1 17261472.645 18580842.566999998 7220366.92 8315410.9399999995 
8000000 21118476.540000003 21063063.65 17135675.320999995 18285970.292 20384920.161000006 19755619.365000002 10473260.044000002 15859723.055999998 
9000000 27259857.615000002 21598966.586 23447107.739999995 21962074.034 27992857.709999997 26696174.753999997 13174431.124999996 13387198.387 
10000000 27999020.225 24165906.844999995 30589362.349999987 23207410.400000002 28311847.536000002 25530652.066000003 17571245.604 16107532.084000003 
