N filter/list-comprehension filter/filter-fun filter/filter-named filter/recursive 
10000 0E-20 0E-20 0E-20 0E-20 
50000 0.0149999999999999994449 0.0160000000000000003331 0.0160000000000000003331 0.0160000000000000003331 
100000 0.0309999999999999997780 0.0470000000000000001110 0.0470000000000000001110 0.0149999999999999994449 
500000 0.125000000000000000000 0.234000000000000013545 0.250000000000000000000 0.125000000000000000000 
1000000 0.359999999999999986677 0.562000000000000055067 0.516000000000000014211 0.375000000000000000000 
2000000 0.858999999999999985789 1.25000000000000000000 1.18700000000000005507 0.859999999999999986677 
3000000 1.20300000000000006928 1.78200000000000002842 1.93799999999999994493 1.21900000000000008349 
4000000 1.86000000000000009770 2.62500000000000000000 1.98500000000000009770 1.84400000000000008349 
5000000 2.23499999999999987566 3.23499999999999987566 2.70299999999999984723 2.21899999999999986144 
6000000 2.65600000000000013856 3.82799999999999984723 3.25000000000000000000 2.65700000000000002842 
7000000 3.17200000000000015277 4.53099999999999969447 4.07800000000000029132 3.17099999999999981881 
8000000 3.78100000000000013856 5.29699999999999970868 5.01499999999999968026 3.78100000000000013856 
9000000 3.89100000000000001421 5.65599999999999969447 5.20300000000000029132 3.89000000000000012434 
10000000 4.56200000000000027711 6.46900000000000030553 4.92100000000000026290 4.54600000000000026290 
